rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne,result_benelux_tour,result_milano-sanremo,result_ronde-van-vlaanderen,result_paris-roubaix,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_e3-harelbeke,result_gent-wevelgem,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_cyclassics-hamburg,result_gp-quebec,result_gp-montreal,RankY1,RankY2,RankY3,RankY4,RankY5,actual_rank
adam-yates,2014,14,81,0.0357142857142857,0.0357142857142857,0.1071428571428571,0.2142857142857142,0.0182926829268292,0.1097560975609756,0.1280487804878048,0.2073170731707317,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.037037037037037,0.1234567901234567,0.1604938271604938,0.2592592592592592,1028,64,31.0,612.0,1092.0,643.0,22,6,19.37919743392696,0.0357142857142857,0.0185185185185185,0.0357142857142857,0.0714285714285714,0.1071428571428571,0.0617283950617283,0.0802469135802469,0.1296296296296296,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.1739130434782608,0.0209790209790209,0.1258741258741259,0.1468531468531468,0.2377622377622377,28,164,23,143,575.9305513688261,344.73806481636655,0.0412393049421161,0.0412393049421161,0.0824786098842322,0.1091089451179961,0.0213833433033194,0.0766217527145953,0.0874284237904124,0.1415415883441002,,,82.0,,,,23.0,76.0,,6.0,,,,,,,,,,,,,97.0,,43.0,,,,,56,54,45,41,20,56.0
adam-yates,2015,9,67,0.054054054054054,0.081081081081081,0.1351351351351351,0.2162162162162162,0.0173160173160173,0.1082251082251082,0.1255411255411255,0.2164502164502164,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0149253731343283,0.1044776119402985,0.1194029850746268,0.2388059701492537,64,56,612.0,680.0,382.6666666666667,441.0,23,7,19.37919743392696,0.0555555555555555,0.0074626865671641,0.1111111111111111,0.1111111111111111,0.0396825396825396,-0.0179366326263419,-0.0104739460591777,0.0053678973553286,0.0666666666666666,0.1,0.1333333333333333,0.2,0.0195121951219512,0.1219512195121951,0.1414634146341463,0.2439024390243902,37,231,30,205,558.8893748617281,356.6945471968979,0.0563063403539491,0.1134485801184738,0.1126126807078982,0.0437108773594135,0.018634352489547,0.0179467292391966,0.0205467350241734,0.0158448376086091,50.0,,,,,9.0,,,,20.0,,,,,,,,56.0,,,,,,,1.0,,,32.0,2.0,54,45,41,20,38,54.0
adam-yates,2016,12,60,0.0408163265306122,0.0612244897959183,0.1020408163265306,0.2040816326530612,0.0171821305841924,0.1030927835051546,0.1305841924398625,0.2371134020618556,0.0,0.0,0.0,0.1666666666666666,0.0166666666666666,0.0833333333333333,0.15,0.3166666666666666,56,54,680.0,734.0,58.0,675.3333333333334,24,8,19.37919743392696,-0.0357142857142857,-0.0101851851851851,-0.0357142857142857,-0.0714285714285714,-0.0238095238095238,-0.0200617283950617,-0.0052469135802469,0.0287037037037037,0.0571428571428571,0.0857142857142857,0.1142857142857142,0.2,0.0240384615384615,0.1057692307692307,0.1442307692307692,0.2692307692307692,49,291,35,208,5.291502622129181,61.133733186624006,0.0563063403539491,0.1134485801184738,0.1126126807078982,0.0300471341047633,0.0122943738673303,0.02007146194271,0.0213492975456004,0.0403654875746476,4.0,,,,,19.0,,32.0,,7.0,,,,,,,56.0,,,,,,,,16.0,,,72.0,,45,41,20,38,9,45.0
adam-yates,2017,6,81,0.0545454545454545,0.0909090909090909,0.1272727272727272,0.2545454545454545,0.0134408602150537,0.0940860215053763,0.1344086021505376,0.2526881720430107,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0617283950617283,0.1481481481481481,0.3086419753086419,54,45,734.0,950.0,51.66666666666666,788.0,25,9,19.37919743392696,0.0277777777777777,-0.0074626865671641,0.0555555555555555,0.0555555555555555,0.2222222222222222,-0.021374608439285,0.0143725815367606,0.0349180025796941,0.074074074074074,0.1481481481481481,0.1481481481481481,0.2962962962962963,0.0096153846153846,0.0817307692307692,0.1394230769230769,0.2884615384615384,55,372,27,208,5.859465277082316,142.8705707974879,0.0848625128695525,0.1697250257391051,0.1697250257391051,0.2740490479064582,0.0091613012553027,0.0213750221023661,0.0171556165620671,0.0428247423619226,,9.0,34.0,,,,4.0,,,,,5.0,,,,,8.0,74.0,,,,,,,,,,,,41,20,38,9,23,41.0
adriano-malori,2010,8,72,0.1875,0.375,0.4583333333333333,0.5208333333333334,0.0158730158730158,0.0634920634920634,0.0873015873015873,0.1111111111111111,0.0,0.125,0.125,0.125,0.0,0.0416666666666666,0.0416666666666666,0.0694444444444444,957,313,35.0,188.0,628.6666666666666,104.0,22,6,20.52892162782273,-0.1875,0.0,-0.2187499999999999,-0.2187499999999999,-0.28125,0.0208333333333333,0.0208333333333333,0.0347222222222222,0.1944444444444444,0.3611111111111111,0.3888888888888889,0.4444444444444444,0.010752688172043,0.053763440860215,0.053763440860215,0.086021505376344,48,126,36,93,322.1867988191529,77.59510293826537,0.196908984427192,0.2253469547164993,0.2188326563415101,0.2843832670756009,0.0412393049421161,0.0734663038951334,0.0734663038951334,0.1093312182166099,167.0,,,,,,,,42.0,89.0,,,,,,,,,,,,,,,,,,,,287,333,132,119,63,287.0
adriano-malori,2011,10,91,0.1724137931034483,0.3275862068965517,0.396551724137931,0.4482758620689655,0.0138248847926267,0.0552995391705069,0.0783410138248847,0.1059907834101382,0.1,0.1,0.1,0.1,0.0109890109890109,0.0439560439560439,0.0659340659340659,0.0989010989010989,313,287,188.0,199.0,519.0,140.66666666666666,23,7,20.52892162782273,0.0083333333333333,-0.0302197802197802,-0.075,-0.1166666666666666,-0.1166666666666666,-0.0494505494505494,-0.0384615384615384,-0.0576923076923076,0.0666666666666666,0.1666666666666666,0.2,0.2,0.0112994350282485,0.0508474576271186,0.0621468926553672,0.096045197740113,58,217,30,177,379.5418290518188,91.67515112250064,0.0535758375610719,0.0803637563416079,0.1281094728622245,0.1281094728622245,0.0384615384615384,0.0577728036995975,0.0528292515281895,0.0765509605953945,91.0,,,,,80.0,,,,104.0,,,,,,,,,,,,,,,,136.0,88.0,,,333,132,119,63,999,333.0
alberto-contador,2012,4,42,0.05,0.15,0.1833333333333333,0.2833333333333333,0.1015873015873015,0.2079365079365079,0.2793650793650793,0.4031746031746032,0.25,0.25,0.25,0.75,0.0952380952380952,0.2619047619047619,0.3571428571428571,0.5,537,18,100.0,1170.0,192.33333333333331,782.0,30,12,19.6926652892562,0.125,-0.0330261136712749,-0.125,-0.125,-0.125,-0.0142089093701996,-0.0069124423963133,-0.0161290322580645,0.1111111111111111,0.4444444444444444,0.4444444444444444,0.7777777777777778,0.1363636363636363,0.2897727272727273,0.3579545454545454,0.5113636363636364,60,630,9,176,298.49678948580555,592.4964134912548,0.1443375672974064,0.2097176232019652,0.2097176232019652,0.1734721666221777,0.0335909530347637,0.0221547877930372,0.0119261347692845,0.0186242022319233,,,1.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,17,2,10,8,9,17.0
alberto-contador,2013,13,71,0.0410958904109589,0.136986301369863,0.1780821917808219,0.2602739726027397,0.094151212553495,0.2011412268188302,0.275320970042796,0.4094151212553495,0.0,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.028169014084507,0.1408450704225352,0.2394366197183098,0.4647887323943662,18,17,1170.0,1248.0,190.66666666666663,839.3333333333334,31,13,19.6926652892562,0.0,-0.0553599374021909,-0.2948717948717948,-0.2564102564102564,-0.2564102564102564,-0.0823552425665101,-0.0538928012519561,-0.0176056338028169,0.05,0.2,0.25,0.35,0.0864864864864864,0.2324324324324324,0.3081081081081081,0.4864864864864865,73,701,20,185,299.9338816028182,641.4681078068757,0.1443375672974064,0.303140295918282,0.2725929662857494,0.3228334790305888,0.0557711755148194,0.0853330578780101,0.0652826079863591,0.0203292348306206,4.0,,,,,3.0,,5.0,,10.0,,,,,,,57.0,,,,,,33.0,,47.0,83.0,,52.0,45.0,2,10,8,9,999,2.0
alejandro-valverde,2012,9,90,0.1021897810218978,0.2846715328467153,0.3211678832116788,0.4452554744525547,0.111791730474732,0.2710566615620214,0.3660030627871363,0.4869831546707504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,2118.0,-3.0,-2118.0,32,16,19.4707778735357,,,,,,,,,0.0,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.1221374045801526,0.3206106870229007,0.3893129770992366,0.4885496183206106,137,653,15,131,1.7320508075688772,1222.8278701436277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,,2.0,2.0,3.0,,,,,,9.0,,,,,,,,,,,,46.0,22.0,26.0,,,,,2,1,1,4,6,2.0
alejandro-valverde,2013,17,78,0.0974025974025974,0.2987012987012987,0.3441558441558441,0.474025974025974,0.106703146374829,0.2612859097127223,0.3556771545827633,0.4842681258549932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,2118.0,2500.0,5.0,4618.0,33,17,19.4707778735357,,,,,,,,,0.0384615384615384,0.3461538461538461,0.4230769230769231,0.5384615384615384,0.0892857142857142,0.2142857142857142,0.2916666666666667,0.4464285714285714,154,731,26,168,1.5275252316519468,1346.7150156337211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,3.0,,,,,,9.0,7.0,,,,,,,3.0,2.0,13.0,,,,7.0,2.0,2.0,,,,,1,1,4,6,1,1.0
