rider_name,year,Number_of_participated_one_day_races,Number_of_participated_multi_day_races,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,age,career year,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,in_top20_next_year
adam-yates,2014,14,81,0.035714286,0.035714286,0.107142857,0.214285714,0.018292683,0.109756098,0.12804878,0.207317073,0.071428571,0.071428571,0.142857143,0.214285714,0.037037037,0.12345679,0.160493827,0.259259259,1028,64,31,612,22,5,0.035714286,0.018518519,0.035714286,0.071428571,0.107142857,0.061728395,0.080246914,0.12962963,0
adam-yates,2015,9,67,0.054054054,0.081081081,0.135135135,0.216216216,0.017316017,0.108225108,0.125541126,0.216450216,0.111111111,0.222222222,0.222222222,0.222222222,0.014925373,0.104477612,0.119402985,0.23880597,64,56,612,680,23,6,0.055555556,0.007462687,0.111111111,0.111111111,0.03968254,-0.017936633,-0.010473946,0.005367897,0
adam-yates,2016,12,60,0.040816327,0.06122449,0.102040816,0.204081633,0.017182131,0.103092784,0.130584192,0.237113402,0,0,0,0.166666667,0.016666667,0.083333333,0.15,0.316666667,56,54,680,734,24,7,-0.035714286,-0.010185185,-0.035714286,-0.071428571,-0.023809524,-0.020061728,-0.005246914,0.028703704,0
adam-yates,2017,6,81,0.054545455,0.090909091,0.127272727,0.254545455,0.01344086,0.094086022,0.134408602,0.25,0.166666667,0.333333333,0.333333333,0.666666667,0,0.061728395,0.148148148,0.296296296,54,44,734,950,25,8,0.027777778,-0.007462687,0.055555556,0.055555556,0.222222222,-0.021374608,0.014372582,0.028745163,0
adam-yates,2018,4,89,0.050847458,0.084745763,0.118644068,0.237288136,0.015184382,0.097613883,0.151843818,0.262472885,0,0,0,0,0.02247191,0.112359551,0.224719101,0.314606742,44,40,950,958,26,9,0,0.002902622,0,0,-0.083333333,0.014513109,0.037359551,-0.001029963,1
adam-yates,2019,9,85,0.044117647,0.088235294,0.132352941,0.235294118,0.027472527,0.111721612,0.177655678,0.291208791,0,0.111111111,0.222222222,0.222222222,0.094117647,0.188235294,0.317647059,0.447058824,40,20,958,1306,27,10,-0.083333333,0.047058824,-0.111111111,-0.055555556,-0.222222222,0.06325345,0.084749455,0.075381264,0
adam-yates,2020,1,37,0.043478261,0.086956522,0.130434783,0.231884058,0.02915952,0.111492281,0.174957118,0.293310463,0,0,0,0,0.054054054,0.108108108,0.135135135,0.324324324,20,38,1306,690,28,11,0,0.015791072,0,0,0,-0.002125721,-0.044791983,0.004858791,1
adriano-malori,2010,8,70,0.1875,0.375,0.458333333,0.520833333,0.016129032,0.064516129,0.088709677,0.10483871,0,0.125,0.125,0.125,0,0.042857143,0.042857143,0.057142857,977,314,35,188,22,5,-0.1875,0,-0.21875,-0.21875,-0.28125,0.021428571,0.021428571,0.028571429,0
adriano-malori,2011,10,88,0.172413793,0.327586207,0.396551724,0.448275862,0.014150943,0.056603774,0.080188679,0.103773585,0.1,0.1,0.1,0.1,0.011363636,0.045454545,0.068181818,0.102272727,314,290,188,199,23,6,0.008333333,-0.030032468,-0.075,-0.116666667,-0.116666667,-0.048701299,-0.037337662,-0.056006494,0
adriano-malori,2012,8,81,0.151515152,0.303030303,0.363636364,0.424242424,0.010238908,0.051194539,0.075085324,0.105802048,0,0.125,0.125,0.25,0,0.037037037,0.061728395,0.111111111,290,334,199,182,24,7,0,0,0,0,0.0625,-0.002910053,0.009435626,0.026984127,0
