rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,RankY1,RankY2,RankY3,RankY4,RankY5,result_milano-sanremo,result_cyclassics-hamburg,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_gp-quebec,result_gp-montreal,result_ronde-van-vlaanderen,result_paris-roubaix,result_e3-harelbeke,result_gent-wevelgem,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne
adam-yates,2014,14,81,0.0357142857142857,0.0357142857142857,0.1071428571428571,0.2142857142857142,0.0182926829268292,0.1097560975609756,0.1280487804878048,0.20731707317073172,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.2142857142857142,0.03703703703703699,0.12345679012345671,0.1604938271604938,0.2592592592592592,1028,64,30.999999999999996,612.0,1092.0,642.9999999999998,22,6,19.37919743392696,0.0434782608695652,0.0434782608695652,0.0869565217391304,0.1739130434782608,0.0209790209790209,0.1258741258741259,0.1468531468531468,0.23776223776223768,28,164,23,143,575.9305513688261,344.73806481636655,0.0412393049421161,0.0412393049421161,0.0824786098842322,0.1091089451179961,0.0213833433033194,0.0766217527145953,0.0874284237904124,0.1415415883441002,0.035714285714285705,0.018518518518518493,0.03571428571428569,0.0714285714285714,0.1071428571428571,0.06172839506172831,0.08024691358024687,0.12962962962962962,56,54,45,41,20,60,90,93,22,41,48,97,92,43,43,88,23,63,64,49,56,26,64,82,25,23,23,23,76,58,6,29,29
adam-yates,2015,9,67,0.054054054054054,0.081081081081081,0.1351351351351351,0.2162162162162162,0.0173160173160173,0.10822510822510821,0.1255411255411255,0.2164502164502164,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0149253731343283,0.1044776119402985,0.1194029850746268,0.2388059701492537,64,56,612.0,680.0,382.6666666666667,441.00000000000006,23,6,19.37919743392696,0.0666666666666666,0.1,0.1333333333333333,0.2,0.0195121951219512,0.12195121951219509,0.1414634146341463,0.2439024390243902,37,231,30,205,558.8893748617281,356.69454719689793,0.0563063403539491,0.1134485801184738,0.1126126807078982,0.0437108773594135,0.018634352489547,0.0179467292391966,0.0205467350241734,0.0158448376086091,0.055555555555555504,0.007462686567164084,0.11111111111111113,0.11111111111111116,0.03968253968253954,-0.01793663262634191,-0.010473946059177687,0.005367897355328628,54,45,41,20,38,78,64,68,56,27,44,47,89,1,61,32,2,32,72,58,38,50,35,5,20,54,9,19,17,40,20,28,7
adam-yates,2016,12,60,0.0408163265306122,0.0612244897959183,0.1020408163265306,0.2040816326530612,0.0171821305841924,0.1030927835051546,0.1305841924398625,0.2371134020618556,0.0,0.0,0.0,0.1666666666666666,0.0166666666666666,0.0833333333333333,0.14999999999999997,0.3166666666666666,56,54,680.0,734.0,58.0,675.3333333333334,23,8,19.37919743392696,0.05714285714285709,0.0857142857142857,0.11428571428571419,0.2,0.0240384615384615,0.1057692307692307,0.1442307692307692,0.2692307692307692,49,291,35,208,5.291502622129181,61.133733186624006,0.0563063403539491,0.1134485801184738,0.1126126807078982,0.030047134104763302,0.0122943738673303,0.02007146194271,0.0213492975456004,0.0403654875746476,-0.035714285714285705,-0.010185185185185092,-0.03571428571428569,-0.0714285714285714,-0.02380952380952378,-0.020061728395061693,-0.005246913580246888,0.02870370370370372,45,41,20,38,9,41,61,56,20,23,35,75,43,16,63,72,55,26,40,54,42,4,44,20,9,14,19,10,32,28,7,33,2
adam-yates,2017,6,81,0.05454545454545451,0.0909090909090909,0.1272727272727272,0.2545454545454545,0.0134408602150537,0.0940860215053763,0.1344086021505376,0.2526881720430107,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0617283950617283,0.1481481481481481,0.3086419753086419,54,45,734.0,950.0,51.66666666666667,788.0,25,9,19.37919743392696,0.074074074074074,0.1481481481481481,0.1481481481481481,0.2962962962962963,0.0096153846153846,0.0817307692307692,0.1394230769230769,0.2884615384615384,55,372,26,208,5.859465277082316,142.8705707974879,0.0848625128695525,0.1697250257391051,0.1697250257391051,0.2740490479064582,0.0091613012553027,0.0213750221023661,0.0171556165620671,0.0428247423619226,0.02777777777777768,-0.007462686567164084,0.05555555555555554,0.05555555555555547,0.2222222222222222,-0.021374608439285007,0.014372581536760574,0.03491800257969411,41,20,38,9,23,81,58,8,74,29,59,18,15,8,53,39,38,10,4,2,50,18,9,34,20,14,5,4,30,4,22,6,5
adriano-malori,2010,8,72,0.1875,0.375,0.4583333333333333,0.5208333333333334,0.0158730158730158,0.0634920634920634,0.0873015873015873,0.11111111111111112,0.0,0.125,0.125,0.125,0.0,0.0416666666666666,0.0416666666666666,0.0694444444444444,956,313,35.0,188.0,628.6666666666666,103.99999999999997,22,6,20.52892162782273,0.1944444444444444,0.3611111111111111,0.3888888888888889,0.4444444444444444,0.010752688172043,0.053763440860215,0.05376344086021499,0.086021505376344,48,126,36,92,322.1867988191529,77.59510293826537,0.19690898442719199,0.2253469547164993,0.2188326563415101,0.2843832670756009,0.0412393049421161,0.0734663038951334,0.0734663038951334,0.1093312182166099,-0.1875,0.0,-0.21874999999999992,-0.2187499999999999,-0.28125,0.02083333333333332,0.020833333333333308,0.03472222222222223,287,333,132,119,63,71,63,85,42,37,27,73,85,71,66,54,62,62,71,63,60,167,65,76,56,54,55,106,77,42,89,97,68
adriano-malori,2011,10,91,0.1724137931034483,0.3275862068965517,0.396551724137931,0.4482758620689655,0.0138248847926267,0.0552995391705069,0.0783410138248847,0.10599078341013822,0.1,0.1,0.1,0.1,0.0109890109890109,0.0439560439560439,0.0659340659340659,0.09890109890109888,313,287,188.0,199.0,519.0000000000001,140.66666666666669,23,6,20.52892162782273,0.0666666666666666,0.1666666666666666,0.2,0.2,0.0112994350282485,0.0508474576271186,0.0621468926553672,0.096045197740113,58,217,30,177,379.5418290518188,91.67515112250064,0.0535758375610719,0.0803637563416079,0.1281094728622245,0.1281094728622245,0.0384615384615384,0.05777280369959751,0.05282925152818951,0.0765509605953945,0.008333333333333304,-0.030219780219780206,-0.07499999999999998,-0.11666666666666659,-0.11666666666666659,-0.049450549450549414,-0.038461538461538394,-0.057692307692307605,333,132,119,63,998,79,88,78,20,16,22,82,35,19,136,43,54,30,73,47,39,91,85,123,10,46,80,117,84,53,104,52,35
alberto-contador,2012,4,42,0.05,0.15,0.1833333333333333,0.2833333333333333,0.1015873015873015,0.2079365079365079,0.2793650793650793,0.4031746031746032,0.25,0.25,0.25,0.75,0.0952380952380952,0.2619047619047619,0.3571428571428571,0.5,537,18,100.0,1170.0,192.3333333333333,782.0000000000001,30,12,19.6926652892562,0.11111111111111112,0.4444444444444444,0.4444444444444445,0.7777777777777778,0.1363636363636363,0.2897727272727273,0.3579545454545454,0.5113636363636364,60,629,9,176,298.49678948580555,592.4964134912548,0.1443375672974064,0.2097176232019652,0.2097176232019652,0.1734721666221777,0.0335909530347637,0.0221547877930372,0.011926134769284499,0.0186242022319233,0.125,-0.0330261136712749,-0.125,-0.125,-0.125,-0.014208909370199618,-0.006912442396313294,-0.016129032258064523,17,2,10,8,9,13,19,30,9,23,45,33,7,11,3,25,9,39,55,27,14,84,71,1,46,30,80,8,15,66,51,82,75
alberto-contador,2013,13,71,0.0410958904109589,0.136986301369863,0.1780821917808219,0.2602739726027397,0.094151212553495,0.2011412268188302,0.275320970042796,0.40941512125534946,0.0,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.028169014084507,0.1408450704225352,0.2394366197183098,0.4647887323943662,18,17,1170.0,1248.0,190.6666666666666,839.3333333333335,31,13,19.6926652892562,0.05,0.2,0.25,0.35,0.0864864864864864,0.23243243243243242,0.3081081081081081,0.48648648648648657,73,701,20,185,299.9338816028182,641.4681078068757,0.1443375672974064,0.303140295918282,0.2725929662857494,0.32283347903058873,0.0557711755148194,0.0853330578780101,0.0652826079863591,0.0203292348306206,0.0,-0.0553599374021909,-0.2948717948717948,-0.2564102564102564,-0.2564102564102564,-0.0823552425665101,-0.0538928012519561,-0.01760563380281693,2,9,8,9,998,39,38,57,30,16,45,33,9,47,83,52,45,34,34,50,7,4,1,49,45,5,3,6,5,1,10,26,48
alejandro-valverde,2012,9,90,0.1021897810218978,0.2846715328467153,0.3211678832116788,0.4452554744525547,0.111791730474732,0.2710566615620214,0.3660030627871363,0.4869831546707504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,0.0,2118.0,-2.999999999999964,-2118.0,32,16,19.4707778735357,0.0,0.2666666666666666,0.2666666666666666,0.3333333333333333,0.1221374045801526,0.3206106870229007,0.3893129770992366,0.4885496183206106,137,652,15,130,1.732050807568877,1222.8278701436277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02202380952380953,-0.040586269526964466,-0.013564213564213544,-0.046572871572871544,-0.015957190957190948,-0.07521523968447688,-0.08269497000937547,-0.10193898700269466,2,1,1,4,6,26,9,25,22,10,45,45,22,25,36,26,20,21,35,29,23,20,29,2,2,3,13,7,12,9,6,9,38
alejandro-valverde,2013,17,78,0.0974025974025974,0.2987012987012987,0.3441558441558441,0.474025974025974,0.106703146374829,0.2612859097127223,0.3556771545827633,0.48426812585499324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2118.0,2500.0,5.000000000000039,4618.0,33,17,19.4707778735357,0.0384615384615384,0.3461538461538461,0.4230769230769231,0.5384615384615384,0.0892857142857142,0.2142857142857142,0.2916666666666667,0.4464285714285714,154,731,26,168,1.5275252316519468,1346.7150156337211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005687830687830693,-0.005205377035126366,-0.026058201058201075,-0.03531746031746025,-0.04933862433862429,-0.017737613698365007,-0.022576767326918774,-0.017241575543273338,1,1,4,6,1,56,33,3,2,13,45,7,2,2,34,7,11,38,23,29,27,8,10,3,13,17,20,6,12,9,7,28,49
