rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,win_ratio_slope,rider_bmi,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne,result_milano-sanremo,result_ronde-van-vlaanderen,result_paris-roubaix,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_e3-harelbeke,result_gent-wevelgem,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_cyclassics-hamburg,result_gp-quebec,result_gp-montreal,RankY1,RankY2,RankY3,RankY4,RankY5,Y1Prediction,Y1mean,Y1std,Y2Prediction,Y2mean,Y2std,Y3Prediction,Y3mean,Y3std,Y4Prediction,Y4mean,Y4std,Y5Prediction,Y5mean,Y5std
adriano-malori,2011,10,91,0.1724137931034483,0.3275862068965517,0.396551724137931,0.4482758620689655,0.0138248847926267,0.0552995391705069,0.0783410138248847,0.10599078341013822,0.1,0.1,0.1,0.1,0.0109890109890109,0.0439560439560439,0.0659340659340659,0.09890109890109888,313,287,188.0,199.0,519.0000000000001,140.66666666666669,23,6,0.008333333333333304,20.52892162782273,-0.030219780219780206,-0.07499999999999998,-0.11666666666666659,-0.11666666666666659,-0.049450549450549414,-0.038461538461538394,-0.057692307692307605,0.0666666666666666,0.1666666666666666,0.2,0.2,0.0112994350282485,0.0508474576271186,0.0621468926553672,0.096045197740113,58,217,30,177,379.5418290518188,91.67515112250064,0.0535758375610719,0.0803637563416079,0.1281094728622245,0.1281094728622245,0.0384615384615384,0.05777280369959751,0.05282925152818951,0.0765509605953945,91,85,123,10,46,80,117,84,53,104,52,35,79,30,73,78,20,16,22,47,39,82,35,19,136,88,43,54,333,132,119,63,998,207.79261593678825,207.79261593678825,42.106278865720206,102.57210017436222,102.57210017436222,29.650705816531552,146.6997668564917,146.6997668564917,28.292076630635155,123.38894775736942,123.38894775736942,39.14472789766201,104.82426068111414,104.82426068111414,23.604746469360364
alexander-kristoff,2011,11,77,0.0405405405405405,0.1351351351351351,0.24324324324324317,0.47297297297297286,0.0094339622641509,0.0849056603773584,0.1132075471698113,0.210691823899371,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.6363636363636364,0.0,0.0519480519480519,0.0909090909090909,0.1428571428571428,131,123,385.0,423.0,258.6666666666667,302.3333333333332,23,8,0.006993006993006902,23.29122995610498,-0.009090909090908992,-0.024475524475524375,-0.0174825174825175,-0.0664335664335664,-0.07402597402597398,-0.0727272727272727,-0.1012987012987012,0.0465116279069767,0.1395348837209302,0.2325581395348837,0.5813953488372093,0.0053191489361702,0.0851063829787234,0.1170212765957446,0.22340425531914893,74,318,43,187,228.0884331423524,177.11389932281807,0.0489510489510489,0.0920311600775486,0.078367060682987,0.1757083375542245,0.0104972776216295,0.0968311157056317,0.1036529893682819,0.1027561925349983,127,157,106,100,33,110,3,31,43,62,67,115,55,16,38,33,25,56,28,34,56,32,58,51,45,14,60,65,27,19,3,2,6,128.2709408715988,128.2709408715988,28.09619815936478,108.05825338964655,108.05825338964655,23.304352357553253,91.5664632853523,91.5664632853523,26.04096669490955,166.50619462435037,166.50619462435037,36.44135252023004,140.92929183899045,140.92929183899045,35.409584183707246
andre-greipel,2011,19,76,0.0842105263157894,0.1789473684210526,0.2421052631578947,0.3157894736842105,0.1203539823008849,0.1787610619469026,0.2283185840707964,0.3274336283185841,0.0,0.2105263157894736,0.3157894736842105,0.3157894736842105,0.1052631578947368,0.1973684210526315,0.2105263157894736,0.3157894736842105,9,16,1486.0,1255.0,11.666666666666659,1382.3333333333333,28,12,-0.2142857142857142,23.629489603024567,-0.0797213622291021,-0.10902255639097737,-0.05639097744360899,-0.1278195488721804,-0.0704334365325077,-0.1006191950464396,-0.08475232198142407,0.11428571428571419,0.3428571428571428,0.4,0.4285714285714285,0.1974248927038626,0.2660944206008583,0.3047210300429184,0.3948497854077253,95,565,35,233,3.785938897200182,117.30444720185731,0.22241110642310793,0.1745058814708818,0.1199531240874533,0.1432312087409679,0.0829564619026498,0.0704416318750661,0.1007192692150112,0.0848565764556869,156,113,97,7,68,112,8,5,76,79,115,75,33,76,21,34,29,50,79,67,4,51,24,73,37,82,28,43,8,9,31,12,25,48.56348840410564,48.56348840410564,13.474608352577976,64.69934575525586,64.69934575525586,28.088616499103775,36.605102095629775,36.605102095629775,20.559758803782756,58.135434270562676,58.135434270562676,25.047601416036194,105.95796272129394,105.95796272129394,7.247578259236742
andrew-talansky,2011,2,89,0.0625,0.0625,0.0625,0.125,0.0166666666666666,0.075,0.1166666666666666,0.2166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,277,52.0,211.0,1078.0,263.0,23,6,0.0,20.571428571428573,-0.006429782966372676,0.0,0.0,-0.09999999999999998,-0.014213009946109889,0.0013116782567115595,-0.025352010881756763,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0166666666666666,0.075,0.1166666666666666,0.2166666666666666,16,120,12,120,406.7976564993133,109.92876481309764,0.11547005383792511,0.1154700538379251,0.11547005383792511,0.1154700538379251,0.0,0.0,0.0,0.0,117,99,77,64,61,48,40,98,9,41,14,95,86,45,54,86,54,47,43,70,78,73,95,28,65,49,42,21,60,44,79,139,69,114.09172112853788,114.09172112853788,22.832277840813415,87.05001187817139,87.05001187817139,16.47747005252677,42.57822488619909,42.57822488619909,19.580426778586574,125.09774662242673,125.09774662242673,33.19240134880177,225.6930262428061,225.6930262428061,19.075717568917355
arnaud-demare,2011,10,39,0.1333333333333333,0.3,0.4,0.6333333333333333,0.081081081081081,0.1981981981981982,0.2522522522522522,0.4234234234234234,0.3,0.3,0.5,0.6,0.0769230769230769,0.1794871794871795,0.2564102564102564,0.358974358974359,549,314,94.0,185.0,863.0,279.00000000000006,20,4,0.15000000000000002,23.198315069747565,0.015734265734265694,-0.25,-0.15000000000000002,-0.09999999999999998,-0.0693473193473193,-0.03088578088578079,-0.11596736596736588,0.16,0.32,0.44000000000000006,0.64,0.0641025641025641,0.1923076923076923,0.2564102564102564,0.4230769230769231,30,111,25,77,275.4456994279151,92.50405396521819,0.1527525231651946,0.3605551275463989,0.3,0.1154700538379251,0.0157934154262073,0.1297835641917528,0.0710494535336451,0.1356827472887706,110,109,112,44,68,107,50,32,92,89,96,115,116,42,64,73,44,28,55,60,83,43,74,73,74,15,26,27,47,31,15,90,32,176.47233150308114,176.47233150308114,35.489641532299004,103.66632764023691,103.66632764023691,25.41881637020961,167.05773297786322,167.05773297786322,18.217947044449545,135.6458819443219,135.6458819443219,37.51158088657304,43.88240873923218,43.88240873923218,14.474083736038274
arthur-vichot,2011,16,71,0.0666666666666666,0.1,0.1333333333333333,0.1666666666666666,0.0103092783505154,0.0257731958762886,0.0309278350515463,0.0824742268041237,0.125,0.125,0.1875,0.25,0.0,0.0140845070422535,0.0140845070422535,0.056338028169014,468,156,121.0,362.00000000000006,677.6666666666666,166.33333333333348,23,4,0.06250000000000003,21.85727788279773,0.0,0.0625,0.09375,0.125,-0.02152917505030181,-0.02152917505030181,-0.014688128772635822,0.074074074074074,0.074074074074074,0.11111111111111112,0.1481481481481481,0.0054347826086956,0.0217391304347826,0.0217391304347826,0.0760869565217391,30,194,26,184,652.282403053565,177.39879744049375,0.0721687836487032,0.0721687836487032,0.1082531754730548,0.1443375672974064,0.0074019265280721,0.0252325497489756,0.0252325497489756,0.0182351827631799,103,50,92,40,77,64,70,43,51,52,23,73,81,56,35,68,28,39,11,64,71,74,85,32,108,77,31,8,191,71,114,338,115,175.54010563235212,175.54010563235212,20.131474753431288,215.14830963840254,215.14830963840254,28.01325528578494,122.5846044436094,122.5846044436094,17.3455632798422,154.03320268412332,154.03320268412332,42.0953780271664,313.65750929263015,313.65750929263015,14.713436231814512
bauke-mollema,2011,10,97,0.0,0.0188679245283018,0.0754716981132075,0.1320754716981132,0.0215633423180593,0.0943396226415094,0.1617250673854447,0.2587601078167116,0.0,0.1,0.3,0.3,0.010309278350515401,0.1030927835051546,0.1443298969072164,0.2783505154639175,80,20,533.0,1165.0,380.0,576.3333333333331,25,6,0.0,18.90359168241966,0.005154639175257688,0.04999999999999997,0.15000000000000002,0.15000000000000002,0.051546391752577275,0.07216494845360819,0.13917525773195868,0.0,0.0344827586206896,0.10344827586206891,0.1379310344827586,0.0100502512562814,0.0703517587939698,0.1105527638190954,0.2010050251256281,53,371,29,199,572.3635208501673,568.2405593877767,0.0,0.057735026918962505,0.1732050807568877,0.1558206626075743,0.006922499901657301,0.051550199286321,0.0746521507262061,0.1403868750485031,70,24,3,19,9,48,9,57,43,9,5,30,52,38,47,47,8,41,32,24,67,53,51,27,38,103,54,10,49,13,24,21,30,46.981486724640384,46.981486724640384,18.55062948332657,93.04294494456758,93.04294494456758,18.29237160770962,46.26959497929792,46.26959497929792,21.897817325611996,40.26292174852423,40.26292174852423,38.65812570104696,219.88912611311176,219.88912611311176,16.983277827648823
ben-hermans,2011,17,63,0.054054054054054,0.1216216216216216,0.1486486486486486,0.3243243243243243,0.0131578947368421,0.0921052631578947,0.1096491228070175,0.2149122807017544,0.0588235294117647,0.1764705882352941,0.1764705882352941,0.2941176470588235,0.0,0.0793650793650793,0.1111111111111111,0.2063492063492063,285,67,205.0,588.0,201.66666666666666,342.6666666666668,25,9,0.029411764705882297,20.811654526534852,0.0,0.05490196078431365,0.05490196078431375,0.013725490196078383,0.0012210012210012028,0.017094017094016974,0.026251526251526196,0.0222222222222222,0.0888888888888888,0.0888888888888888,0.2,0.0061349693251533,0.0552147239263803,0.0674846625766871,0.15950920245398767,74,228,45,163,117.71717518413926,212.9937401271064,0.0339617805405662,0.0891096834883883,0.0891096834883883,0.1624653079619463,0.0094647585113053,0.0356726483420569,0.0479654303187587,0.0459608948485082,63,65,72,15,70,58,69,38,96,24,86,28,20,37,64,22,51,25,17,12,92,17,8,100,40,42,50,18,240,183,156,52,104,124.17707081269178,124.17707081269178,20.62647324598171,82.6978485179895,82.6978485179895,32.653958567375724,263.61442374197037,263.61442374197037,25.87363485901931,67.17756258627082,67.17756258627082,52.85776936369294,60.287032991540904,60.287032991540904,29.288055457308403
ben-swift,2011,4,90,0.026315789473684202,0.1052631578947368,0.2105263157894736,0.3947368421052631,0.0344827586206896,0.0783699059561128,0.1034482758620689,0.2037617554858934,0.0,0.0,0.0,0.25,0.0555555555555555,0.1,0.1333333333333333,0.2,286,93,204.0,516.0,191.99999999999997,334.33333333333326,23,6,0.0,21.29629629629629,0.021111111111111115,-0.05555555555555548,-0.05555555555555547,-0.04166666666666663,0.009999999999999997,0.006666666666666593,-0.019999999999999928,0.0,0.0625,0.0625,0.25,0.0372093023255813,0.0930232558139534,0.1255813953488372,0.2232558139534883,38,318,16,215,96.59710140578754,162.2107682409936,0.0,0.0641500299099584,0.0641500299099584,0.1734721666221777,0.0213533856376289,0.011547005383792499,0.007698003589194999,0.023094010767585,137,26,123,3,47,98,91,54,67,60,106,56,61,111,65,74,41,31,29,67,63,63,69,53,60,31,51,22,138,392,48,169,75,128.63804457724237,128.63804457724237,28.44862764210243,250.79906368503916,250.79906368503916,45.56607597355253,193.97913589323952,193.97913589323952,37.84152856118392,94.88345140957306,94.88345140957306,31.44270212829696,74.97670574102888,74.97670574102888,23.159894432008002
benat-intxausti,2011,10,83,0.0,0.0,0.1224489795918367,0.1836734693877551,0.0029850746268656,0.0238805970149253,0.0477611940298507,0.1134328358208955,0.0,0.0,0.0,0.1,0.0,0.0120481927710843,0.0481927710843373,0.12048192771084329,114,118,421.99999999999994,442.0,208.99999999999997,334.33333333333326,25,6,0.0,19.918367346938776,0.0,0.0,-0.2,-0.15000000000000002,0.006024096385542092,0.01792354603599581,0.004685408299866103,0.0,0.0,0.125,0.2083333333333333,0.0044843049327354,0.0224215246636771,0.0538116591928251,0.1390134529147982,49,335,24,223,161.0931407602447,169.4589429134188,0.0,0.0,0.206479405403946,0.1508549026253059,0.009785597782875,0.0361695667238592,0.0540797970234559,0.050788605355375695,24,30,85,50,31,29,31,4,5,69,20,46,78,24,39,73,13,31,65,15,39,19,101,20,39,70,24,20,107,40,134,83,998,145.70366094230138,145.70366094230138,24.790536885980845,94.0588574722457,94.0588574722457,20.206915464590306,99.37383521488819,99.37383521488819,24.665355934230405,214.51402534533437,214.51402534533437,27.39075563834685,658.8000020297167,658.8000020297167,33.23323055948615
bjorn-leukemans,2011,28,61,0.0095693779904306,0.062200956937799,0.1339712918660287,0.277511961722488,0.0119658119658119,0.0358974358974358,0.0581196581196581,0.1418803418803418,0.0357142857142857,0.1071428571428571,0.1071428571428571,0.25,0.032258064516129,0.0967741935483871,0.0967741935483871,0.1612903225806451,62,31,626.0,954.0,103.33333333333334,614.0,34,15,0.01785714285714278,21.38593635289987,0.009635525764557994,0.025793650793650712,-0.02976190476190471,-0.013888888888888784,0.04189359028068702,0.03540008378718049,0.03519061583577713,0.027027027027027,0.081081081081081,0.1351351351351351,0.2837837837837837,0.0154639175257731,0.0360824742268041,0.0618556701030927,0.11855670103092779,209,585,74,194,99.65105786359388,346.15603418111897,0.020619652471058,0.0264219369780928,0.029959660457423605,0.0360070306582439,0.0162307252851365,0.0525264991372447,0.0360018152586424,0.0365350859966008,71,36,55,33,37,84,81,29,49,52,76,39,77,7,13,9,18,28,21,47,41,57,7,87,54,37,6,14,130,87,113,162,998,172.72087118212434,172.72087118212434,36.389979285072506,90.13638299156406,90.13638299156406,38.928911640375894,308.43326199996005,308.43326199996005,36.72564215546167,343.0774912700731,343.0774912700731,44.99079698609353,407.3045178675538,407.3045178675538,33.20224569942068
borut-bozic,2011,21,70,0.0196078431372549,0.088235294117647,0.1372549019607843,0.2941176470588235,0.0674603174603174,0.1468253968253968,0.1964285714285714,0.3134920634920635,0.0,0.0476190476190476,0.0952380952380952,0.2857142857142857,0.0142857142857142,0.0142857142857142,0.0428571428571428,0.1714285714285714,171,84,302.0,535.0,101.33333333333327,511.6666666666667,31,13,0.0,22.09317005428608,-0.020947030497592212,-0.014652014652014609,-0.02930402930402931,-0.010989010989011005,-0.06027287319422149,-0.07407704654895658,-0.08282504012841088,0.0,0.0638297872340425,0.10638297872340421,0.23404255319148928,0.0382978723404255,0.102127659574468,0.1404255319148936,0.2851063829787234,102,504,47,235,62.81984824347583,199.0284736748321,0.0,0.016918689207022,0.0401818868666772,0.1273651183202469,0.0210896485447761,0.0726256271378944,0.0803969988234734,0.0933793680482783,136,69,29,50,47,74,51,36,40,78,113,53,120,99,51,37,24,32,41,42,23,12,41,30,32,3,52,19,227,125,203,447,998,185.15439272467287,185.15439272467287,34.68483960708793,162.17507386759664,162.17507386759664,40.96834191123783,190.90760226528073,190.90760226528073,36.36282826184744,268.5281993148271,268.5281993148271,42.40477266023319,722.8656639553012,722.8656639553012,52.20344854925015
bradley-wiggins,2011,6,81,0.06060606060606061,0.0909090909090909,0.0909090909090909,0.1666666666666666,0.0212765957446808,0.061170212765957396,0.0930851063829787,0.1329787234042553,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0246913580246913,0.1358024691358024,0.1975308641975308,0.2962962962962963,116,14,417.99999999999994,1266.0,54.00000000000004,862.6666666666666,31,15,-0.016666666666666607,21.05263157894737,-0.009632342965676317,0.06666666666666657,0.06666666666666665,0.06666666666666665,0.007461674128340683,0.005358838692171989,0.021774521774521667,0.1764705882352941,0.23529411764705876,0.2352941176470588,0.23529411764705876,0.0313725490196078,0.1137254901960784,0.1607843137254902,0.2313725490196078,66,752,17,255,54.4426303552648,425.5083234595222,0.0192450089729875,0.0881917103688196,0.0881917103688196,0.08819171036881959,0.0112981425361606,0.0264785005110029,0.05556138301132961,0.0781189104763452,9,23,2,86,3,34,27,44,62,1,13,23,44,15,90,29,42,24,61,45,46,14,58,11,24,62,25,15,2,52,53,397,998,84.55863284078097,84.55863284078097,30.629718090056837,47.48908034602854,47.48908034602854,16.825763448739867,121.8665546396543,121.8665546396543,17.770319554877517,172.47282189367866,172.47282189367866,53.0118158442052,828.9182299909531,828.9182299909531,51.84958079405374
cadel-evans,2011,1,68,0.028846153846153796,0.0769230769230769,0.173076923076923,0.2692307692307692,0.0362573099415204,0.1181286549707602,0.1871345029239766,0.3251461988304093,0.0,0.0,0.0,0.0,0.0735294117647058,0.2205882352941176,0.3088235294117647,0.5441176470588235,5,3,1682.9999999999998,2008.9999999999998,4.333333333333347,1838.6666666666667,34,13,-0.055555555555555504,21.13885585942661,0.0217647058823529,-0.05555555555555548,-0.16666666666666663,-0.2222222222222222,0.0452941176470588,0.05441176470588231,0.08705882352941167,0.0952380952380952,0.1428571428571428,0.3333333333333333,0.3809523809523809,0.0423728813559322,0.1694915254237288,0.2542372881355932,0.41949152542372875,104,855,21,235,1.527525231651946,163.4941385289801,0.0591865179503264,0.0916542598573481,0.2017675187417998,0.2367460718013056,0.0253032359305731,0.045299210307030706,0.0562936361566886,0.1012129437222924,1,2,2,37,45,1,7,3,1,2,9,21,53,37,53,8,13,29,21,54,39,12,22,19,50,71,53,33,29,48,21,264,998,90.68601487909997,90.68601487909997,19.843495149234514,47.49499630492627,47.49499630492627,13.567917586766555,133.37390244010265,133.37390244010265,17.152422826675366,70.47958528615298,70.47958528615298,30.008225605623565,323.0216860473335,323.0216860473335,13.098250522585266
carlos-betancur,2011,19,49,0.0476190476190476,0.0952380952380952,0.1428571428571428,0.1904761904761904,0.0439560439560439,0.0659340659340659,0.0769230769230769,0.12087912087912078,0.0526315789473684,0.0526315789473684,0.1052631578947368,0.1578947368421052,0.0,0.0,0.0204081632653061,0.0408163265306122,907,222,41.0,268.0,619.6666666666665,121.99999999999984,22,3,0.02631578947368421,21.513858510523864,0.0,-0.4736842105263157,-0.4473684210526314,-0.4210526315789473,-0.027777777777777693,-0.017573696145124693,-0.0629251700680272,0.0476190476190476,0.0952380952380952,0.1428571428571428,0.1904761904761904,0.0439560439560439,0.0659340659340659,0.0769230769230769,0.12087912087912078,21,91,21,90,355.5788707633418,126.69254121691615,0.0303868562731381,0.5627724537665066,0.54948981625845,0.5375983665278794,0.0962250448649376,0.1078812981271393,0.09991017475097119,0.1053095135010385,59,59,71,79,22,53,70,92,28,33,68,49,82,61,19,99,9,56,11,61,62,138,100,60,71,79,60,50,70,30,83,369,998,135.88953764487462,135.88953764487462,20.13543156273645,113.4773661325801,113.4773661325801,24.166717036779676,129.10812615419366,129.10812615419366,26.173496784384007,164.98027694081952,164.98027694081952,22.280982285411845,348.8330181496612,348.8330181496612,19.398241702969088
chris-horner,2011,0,34,0.0094339622641509,0.0660377358490566,0.0943396226415094,0.2641509433962264,0.0252100840336134,0.0756302521008403,0.11932773109243688,0.2067226890756302,0.0,0.0,0.0,0.0,0.0588235294117647,0.1764705882352941,0.2647058823529412,0.5,19,62,1166.0,613.0,127.33333333333326,657.0,40,17,0.0,21.604938271604937,0.029411764705882287,0.0,0.0,0.0,0.032679738562091484,0.049019607843137226,0.13888888888888884,0.0,0.0,0.0769230769230769,0.3076923076923077,0.0275862068965517,0.11724137931034481,0.1793103448275862,0.3172413793103448,106,595,13,145,151.14341974870536,488.4884850229328,0.0,0.0,0.05773502691896249,0.2309401076758503,0.0294544352777159,0.04377920698477801,0.063172969235545,0.1465712371920782,21,11,14,56,50,9,3,2,7,10,3,49,93,54,55,47,18,21,19,38,49,8,34,62,51,18,44,50,59,27,232,474,998,198.27872571743245,198.27872571743245,27.567474247461664,117.45344812345284,117.45344812345284,13.466190861943439,143.721925360256,143.721925360256,32.692401007167305,245.3669415784171,245.3669415784171,64.32607833658274,885.9935337328424,885.9935337328424,56.744263321450624
christophe-riblon,2011,12,95,0.0188679245283018,0.0283018867924528,0.0471698113207547,0.1132075471698113,0.0049833887043189,0.0099667774086378,0.0265780730897009,0.08970099667774079,0.0,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0,0.0526315789473684,85,351,522.0,167.0,222.6666666666666,313.66666666666663,30,11,0.0,20.061728395061724,-0.00500000000000001,0.041666666666666616,0.005952380952380931,-0.02380952380952378,-0.004999999999999998,-0.009999999999999998,-0.0086842105263157,0.027027027027027,0.054054054054054,0.081081081081081,0.1891891891891892,0.0066666666666666,0.0066666666666666,0.0233333333333333,0.08999999999999998,106,602,37,300,133.24538766251283,185.36001007049316,0.0524863881081478,0.0504418796854499,0.0098200992704301,0.0243285935066195,0.0056410652837831,0.0056410652837831,0.0239108953113022,0.0478721869460831,50,53,68,25,85,55,147,55,43,51,42,8,91,42,28,37,50,31,46,20,34,77,56,34,31,80,48,49,271,95,359,462,998,126.98287089627843,126.98287089627843,31.1583727424562,230.96432036071633,230.96432036071633,28.891189674014015,198.86844742935745,198.86844742935745,21.89819665157189,329.1999825771188,329.1999825771188,36.87086217514741,447.397889195786,447.397889195786,20.40093496548938
christopher-froome,2011,2,103,0.015625,0.078125,0.10937499999999999,0.171875,0.0112676056338028,0.0394366197183098,0.076056338028169,0.152112676056338,0.0,0.0,0.0,0.0,0.019417475728155303,0.0485436893203883,0.07766990291262128,0.1650485436893204,504,35,107.0,853.0,325.00000000000006,361.00000000000017,26,6,-0.03333333333333331,19.65545149728292,0.009708737864077607,-0.03333333333333331,-0.0666666666666666,-0.1333333333333333,0.01702546784859992,0.02434219783312219,0.04629238778668909,0.037037037037037,0.074074074074074,0.1481481481481481,0.2222222222222222,0.0082987551867219,0.029045643153526896,0.0539419087136929,0.1161825726141078,64,355,26,241,253.43835542395706,426.1595945182978,0.038490017945975,0.0509175077217315,0.1018350154434631,0.1387777332977421,0.0112106848386335,0.019659316890937,0.0249975954662656,0.04980017481198269,64,22,1,13,20,45,61,19,15,9,47,84,40,39,70,68,17,50,44,79,23,69,54,39,98,84,85,11,11,4,13,4,2,37.977291401464335,37.977291401464335,18.823793202213416,104.78160517488134,104.78160517488134,24.065809035777754,97.13076638452414,97.13076638452414,28.782084380553762,116.9328888296424,116.9328888296424,37.73817768521006,219.06245578764492,219.06245578764492,28.4041577075831
