rider_name,year,Number_of_participated_one_day_races_current_year,Number_of_participated_multi_day_races_current_year,win_ratio_all_time,top3_ratio_all_time,top5_ratio_all_time,top10_ratio_all_time,stage_win_ratio_all_time,stage_top3_ratio_all_time,stage_top5_ratio_all_time,stage_top10_ratio_all_time,win_ratio,top3_ratio,top5_ratio,top10_ratio,stage_win_ratio,stage_top3_ratio,stage_top5_ratio,stage_top10_ratio,pcs_rank_previous_year,pcs_rank_current_year,pcs_points_previous_year,pcs_points_current_year,rank_avg_last3years,pcs_points_avg_last3years,age,career year,rider_bmi,win_ratio_slope,stage_win_ratio_slope,top3_ratio_slope,top5_ratio_slope,top10_ratio_slope,stage_top3_ratio_slope,stage_top5_ratio_slope,stage_top10_ratio_slope,win_ratio_last3years,top3_ratio_last3years,top5_ratio_last3years,top10_ratio_last3years,stage_win_ratio_last3years,stage_top3_ratio_last3years,stage_top5_ratio_last3years,stage_top10_ratio_last3years,Number_of_participated_one_day_races_all_time,Number_of_participated_multi_day_races_all_time,Number_of_participated_one_day_races_last3years,Number_of_participated_multi_day_races_last3years,rank_stdev_last3years,pcs_points_stdev_last3years,win_ratio_stdev_last3years,top3_ratio_stdev_last3years,top5_ratio_stdev_last3years,top10_ratio_stdev_last3years,stage_win_ratio_stdev_last3years,stage_top3_ratio_stdev_last3years,stage_top5_ratio_stdev_last3years,stage_top10_ratio_stdev_last3years,result_tour-de-france,result_giro-d-italia,result_vuelta-a-espana,result_tour-down-under,result_paris-nice,result_tirreno-adriatico,result_volta-a-catalunya,result_itzulia-basque-country,result_tour-de-romandie,result_dauphine,result_tour-de-suisse,result_tour-de-pologne,result_milano-sanremo,result_ronde-van-vlaanderen,result_paris-roubaix,result_liege-bastogne-liege,result_il-lombardia,result_strade-bianche,result_great-ocean-race,result_e3-harelbeke,result_gent-wevelgem,result_la-fleche-wallone,result_amstel-gold-race,result_san-sebastian,result_bretagne-classic,result_cyclassics-hamburg,result_gp-quebec,result_gp-montreal,in_top20_next_year,Prediction
adriano-malori,2011,10.0,91.0,0.1724137931034483,0.32758620689655177,0.396551724137931,0.4482758620689655,0.0138248847926267,0.0552995391705069,0.0783410138248847,0.1059907834101382,0.1,0.1,0.1,0.1,0.0109890109890109,0.0439560439560439,0.0659340659340659,0.09890109890109888,313.0,287.0,188.0,199.0,519.0000000000001,140.66666666666669,23.0,7.0,20.52892162782273,0.008333333333333304,-0.030219780219780206,-0.07500000000000001,-0.11666666666666659,-0.11666666666666659,-0.0494505494505494,-0.03846153846153839,-0.057692307692307584,0.0666666666666666,0.1666666666666666,0.2,0.2,0.0112994350282485,0.0508474576271186,0.06214689265536719,0.096045197740113,58.0,217.0,30.0,177.0,379.5418290518188,91.67515112250065,0.0535758375610719,0.0803637563416079,0.1281094728622245,0.1281094728622245,0.0384615384615384,0.0577728036995975,0.05282925152818949,0.0765509605953945,91.0,68.0,72.0,21.0,25.000000000000004,80.0,127.0,58.0,85.0,104.0,104.0,45.0,56.0,43.0,102.00000000000001,113.0,36.0,42.0,7.000000000000001,71.0,12.0,61.0,120.0,78.0,136.0,88.00000000000001,86.0,28.0,0.0,0.0
alessandro-ballan,2011,15.0,53.0,0.0328947368421052,0.1052631578947368,0.1644736842105263,0.25,0.0131826741996233,0.0489642184557438,0.0885122410546139,0.160075329566855,0.0,0.0666666666666666,0.1333333333333333,0.3333333333333333,0.0,0.0188679245283018,0.0188679245283018,0.0943396226415094,124.00000000000001,119.0,400.0,435.0,106.66666666666669,466.0000000000002,32.0,11.0,20.221606648199444,0.0,-0.013157894736842105,0.033333333333333326,0.028205128205128216,0.1282051282051282,-0.023460774577954285,-0.03661866931479641,-0.03177755710029794,0.0,0.0434782608695652,0.0869565217391304,0.1956521739130435,0.0098522167487684,0.0394088669950738,0.0541871921182266,0.1133004926108374,152.0,531.0,46.0,203.0,25.813433195399128,85.8079250419214,0.0,0.0357172250407146,0.0401830617584734,0.1301139944242592,0.015193428136569,0.0250690047655999,0.0376216486280711,0.0410596703524953,140.0,45.0,74.0,11.0,42.00000000000001,32.0,84.0,53.0,37.0,118.0,81.0,62.0,4.0,12.0,6.0,37.0,13.999999999999998,2.0,70.0,57.0,44.0,50.0,18.0,25.0,27.0,35.0,123.0,7.0,0.0,0.0
alessandro-petacchi,2011,6.000000000000001,89.0,0.1282051282051282,0.188034188034188,0.2307692307692307,0.2905982905982906,0.1528724440116845,0.2502434274586173,0.3008763388510224,0.3661148977604674,0.0,0.0,0.0,0.0,0.0337078651685393,0.1797752808988764,0.23595505617977522,0.2921348314606741,17.0,41.0,1270.0,807.0,28.99999999999997,1016.0,37.0,16.0,20.45288531775018,-0.2142857142857142,-0.04196959682749499,-0.2142857142857142,-0.3571428571428571,-0.3571428571428571,-0.013053536021150001,-0.02172835426305351,-0.015697290152015767,0.2105263157894736,0.2631578947368421,0.3684210526315789,0.3684210526315789,0.0811965811965812,0.20512820512820507,0.2692307692307692,0.3205128205128205,117.0,1027.0,19.0,234.0,12.0,234.75732150456992,0.2160421839494634,0.2250388393453622,0.3574073094983397,0.3574073094983397,0.0450208578486009,0.0270003488002564,0.0321394425077483,0.0292832708596995,107.0,88.0,98.99999999999999,107.0,5.0,5.0,11.0,32.0,30.000000000000004,5.0,83.0,114.0,12.0,53.0,8.0,43.0,54.0,15.000000000000002,42.0,52.0,70.0,54.00000000000001,89.0,70.0,27.0,65.0,119.0,12.0,0.0,0.0
alexander-kristoff,2011,11.0,77.0,0.0405405405405405,0.1351351351351351,0.2432432432432432,0.4729729729729729,0.0094339622641509,0.0849056603773584,0.1132075471698113,0.210691823899371,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.6363636363636364,0.0,0.0519480519480519,0.09090909090909091,0.1428571428571428,131.0,123.0,385.0,423.0,258.6666666666667,302.3333333333332,24.0,8.0,23.29122995610498,0.006993006993006867,-0.009090909090909009,-0.024475524475524424,-0.0174825174825175,-0.0664335664335664,-0.07402597402597398,-0.0727272727272727,-0.10129870129870118,0.0465116279069767,0.1395348837209302,0.2325581395348837,0.5813953488372093,0.0053191489361702,0.0851063829787234,0.1170212765957446,0.2234042553191489,74.0,318.0,43.0,188.0,228.0884331423524,177.11389932281807,0.0489510489510489,0.0920311600775486,0.078367060682987,0.1757083375542245,0.0104972776216295,0.0968311157056317,0.1036529893682819,0.1027561925349983,101.99999999999999,157.0,141.0,100.0,30.999999999999996,10.0,65.0,24.0,79.0,127.0,44.0,115.0,70.0,38.0,61.0,76.0,61.00000000000001,20.0,19.0,9.0,34.0,14.999999999999998,30.000000000000004,61.0,8.0,14.0,14.0,9.0,0.0,0.0
alexandr-kolobnev,2011,11.0,34.0,0.04,0.1266666666666666,0.1866666666666666,0.28,0.0051282051282051,0.029059829059829,0.0598290598290598,0.1247863247863247,0.0,0.0909090909090909,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0,0.0,76.0,246.0,550.0,240.00000000000003,117.33333333333331,579.3333333333335,30.000000000000004,13.0,21.13885585942661,0.0,0.0,-0.1045454545454545,-0.013636363636363613,-0.21363636363636362,-0.012345679012345607,-0.0432098765432098,-0.074074074074074,0.027027027027027,0.1891891891891892,0.2702702702702703,0.4054054054054054,0.0,0.0149253731343283,0.0497512437810945,0.0845771144278607,150.0,585.0,37.0,201.0,113.77756076368192,354.91031731035,0.0360843918243516,0.1046462787867387,0.0250344115785731,0.23604381772098476,0.0,0.0123526322096778,0.0434764501768096,0.0746431843037329,81.0,88.0,52.0,11.0,109.0,88.99999999999999,32.0,28.0,38.0,62.0,36.0,4.0,51.0,2.0,8.0,11.000000000000002,13.999999999999998,2.0,103.0,27.0,9.0,81.0,5.0,31.0,80.0,99.00000000000001,38.0,3.0,0.0,0.0
alexandre-vinokourov,2011,4.0,57.0,0.0434782608695652,0.1478260869565217,0.208695652173913,0.2782608695652174,0.0652173913043478,0.1557971014492753,0.2185990338164251,0.3248792270531401,0.0,0.0,0.25,0.25,0.0350877192982456,0.1578947368421052,0.2631578947368421,0.3157894736842105,11.999999999999998,39.0,1372.0,827.0000000000001,57.666666666666686,871.9999999999999,38.0,16.0,21.7051294327939,-0.0714285714285714,-0.013706140350877099,-0.1428571428571428,-0.08928571428571419,-0.2321428571428571,0.04769736842105262,0.06907894736842102,0.06414473684210519,0.1538461538461538,0.3076923076923077,0.4615384615384615,0.6153846153846154,0.04,0.12,0.22,0.3,115.0,828.0000000000001,13.0,150.0,57.32654998631379,479.0876746483883,0.2575393768188563,0.5150787536377127,0.3917733969501031,0.37852650227582485,0.0148353093736738,0.0478359097941224,0.0695311834599839,0.0729128993478767,79.0,4.0,70.0,1.0,37.99999999999999,5.0,11.0,8.0,3.0,3.0000000000000004,32.0,9.0,6.0,21.0,9.0,32.0,1.0,9.0,5.0,52.0,5.0,4.0,17.0,35.0,10.0,65.0,119.0,54.0,0.0,0.0
allan-davis,2011,9.0,49.0,0.0476190476190476,0.1507936507936507,0.2301587301587301,0.3095238095238095,0.0403587443946188,0.1390134529147982,0.21823617339312398,0.3303437967115097,0.0,0.0,0.0,0.0,0.0,0.0,0.06122448979591829,0.22448979591836726,70.0,443.0,581.0,127.00000000000001,176.6666666666666,610.0,31.0,15.000000000000002,24.675500270416446,0.0,-0.027027027027027008,-0.09090909090909088,-0.18181818181818177,-0.18181818181818177,-0.07432432432432429,-0.07073910645339211,-0.0364037506894649,0.0344827586206896,0.1379310344827586,0.2413793103448276,0.2413793103448276,0.0194174757281553,0.0922330097087378,0.1310679611650485,0.23786407766990286,126.00000000000001,669.0,29.0,206.0,232.16876045957034,498.1335162383676,0.0641500299099584,0.1183730359006528,0.2017675187417998,0.2017675187417998,0.0312081226588986,0.0754078088166336,0.0720317474421748,0.0535921917775824,154.0,109.0,45.00000000000001,9.0,12.0,117.99999999999999,55.0,111.0,74.0,125.0,69.0,22.0,146.0,58.0,54.0,11.000000000000002,41.0,29.0,37.0,101.0,66.0,54.00000000000001,63.0,56.0,72.0,99.00000000000001,54.0,52.0,0.0,0.0
andre-greipel,2011,19.0,76.0,0.08421052631578939,0.1789473684210526,0.2421052631578947,0.3157894736842105,0.1203539823008849,0.1787610619469026,0.2283185840707964,0.3274336283185841,0.0,0.2105263157894736,0.3157894736842105,0.3157894736842105,0.1052631578947368,0.1973684210526315,0.2105263157894736,0.3157894736842105,9.0,16.0,1486.0,1255.0,11.6666666666667,1382.3333333333333,29.0,11.999999999999998,23.629489603024567,-0.2142857142857142,-0.07972136222910212,-0.10902255639097741,-0.05639097744360899,-0.1278195488721804,-0.07043343653250772,-0.1006191950464396,-0.08475232198142413,0.1142857142857142,0.3428571428571428,0.4,0.4285714285714285,0.1974248927038626,0.2660944206008583,0.30472103004291834,0.39484978540772536,95.0,565.0,35.0,233.0,3.785938897200182,117.30444720185731,0.22241110642310793,0.1745058814708818,0.1199531240874533,0.1432312087409679,0.0829564619026498,0.0704416318750661,0.10071926921501119,0.0848565764556869,156.0,123.0,144.0,7.0,70.0,153.99999999999997,111.0,60.0,11.000000000000002,123.0,115.0,147.0,33.0,76.0,21.0,4.0,30.000000000000004,50.0,20.0,101.0,4.0,67.0,10.0,107.0,11.0,82.0,15.0,98.0,1.0,1.0
andreas-klier,2011,12.000000000000002,80.0,0.0094786729857819,0.023696682464454895,0.0473933649289099,0.1327014218009478,0.0021574973031283,0.0172599784250269,0.0334412081984897,0.0733549083063646,0.0,0.0,0.0,0.0,0.0,0.0125,0.024999999999999998,0.0625,775.0,358.0,55.0,165.0,457.3333333333333,155.33333333333317,35.0,16.0,21.97735111870822,0.0,0.0,0.0,-0.04166666666666663,-0.08333333333333331,0.006250000000000013,0.005650684931506831,0.0038527397260272687,0.0,0.0,0.0303030303030303,0.0606060606060606,0.0,0.0045454545454545,0.0136363636363636,0.0454545454545454,211.0,927.0,33.0,220.0,281.4681746367311,95.8662262391367,0.0,0.0,0.0481125224324688,0.0962250448649376,0.0,0.007216878364870299,0.0125191415334717,0.025535166765602,82.0,50.00000000000001,157.0,54.0,115.0,101.99999999999999,77.0,82.0,76.0,112.0,53.99999999999999,103.0,35.0,113.0,49.0,101.00000000000001,46.0,77.0,9.999999999999998,94.0,110.99999999999999,38.0,20.0,68.0,69.0,109.0,33.0,80.0,0.0,0.0
andreas-kloden,2011,3.0000000000000004,77.0,0.0140845070422535,0.0422535211267605,0.0704225352112676,0.1408450704225352,0.028280542986425298,0.1052036199095022,0.1515837104072398,0.2420814479638009,0.0,0.0,0.0,0.0,0.0649350649350649,0.1688311688311688,0.2337662337662337,0.2987012987012987,63.0,40.0,621.0,824.0,43.33333333333333,812.9999999999998,36.0,16.0,18.812147272238644,0.0,0.010408708938120593,0.0,0.0,0.0,0.01823911382734912,0.028647822765469774,-0.03447288006111533,0.0,0.0,0.0,0.0,0.036036036036036,0.1081081081081081,0.1576576576576576,0.2927927927927928,71.0,884.0,7.000000000000001,222.0,18.230011885167087,186.74313909753153,0.0,0.0,0.0,0.0,0.0331569357429233,0.0742240953215138,0.0858554284088099,0.07347962293309152,6.0,1.0,4.0,3.0,2.0,3.0,109.0,1.0,11.000000000000002,4.0,38.0,4.0,61.99999999999999,35.0,97.00000000000001,44.00000000000001,24.0,28.0,17.0,41.0,10.0,22.999999999999996,107.99999999999999,83.0,66.0,41.0,129.0,76.0,0.0,0.0
