rider_slug,rank,pcs_points
laurent-jalabert,1,4863
miguel-indurain,2,2764
alex-zulle,3,2405
tony-rominger,4,2303
claudio-chiappucci,5,2176
johan-museeuw,6,1930
francesco-casagrande,7,1887
abraham-olano-manzano,8,1782
richard-virenque,9,1685
maurizio-fondriest,10,1663
andrei-tchmil,11,1609
mauro-gianetti,12,1423
evgeni-berzin,13,1363
viatcheslav-ekimov,14,1259
rolf-sorensen,15,1259
michele-bartoli,16,1249
nicola-minali,17,1201
francesco-frattini,18,1193
fernando-escartin,19,1193
mario-cipollini,20,1193
pascal-richard,21,1185
davide-rebellin,22,1160
lance-armstrong,23,1114
erik-zabel,24,1097
melchor-mauri,25,1096
beat-zberg,26,1089
fabio-baldato,27,1043
stefano-zanini,28,1012
adriano-baffi,29,1005
maximilian-sciandri,30,994
bjarne-riis,31,987
stefano-colage,32,927
giovanni-lombardi,33,919
pavel-tonkov,34,911
marco-pantani,35,899
piotr-ugrumov,36,892
gianni-bugno,37,889
johan-bruyneel,38,884
ivan-gotti,39,844
vladislav-bobrik,40,836
bruno-cenghialta,41,816
stefano-della-santa,42,807
laurent-madouas,43,801
wilfried-nelissen,44,800
dmitri-konychev,45,786
enrico-zaina,46,780
davide-cassani,47,756
erik-breukink,48,756
oliverio-rincon-quintana,49,748
jelle-nijdam,50,731
gianni-faresin,51,725
djamolidine-abduzhaparov,52,717
paolo-lanfranchi,53,716
zenon-jaskula,54,676
jesper-skibby,55,644
jo-planckaert,56,625
rolf-jaermann,57,622
roberto-pistore,58,614
christopher-boardman,59,605
mariano-piccoli,60,601
bo-hamburger,61,596
laurent-dufaux,62,596
francois-simon,63,593
jan-svorada-1,64,579
franco-ballerini,65,575
giovanni-fidanza,66,571
frank-vandenbroucke,67,570
massimo-podenzana,68,565
leonardo-piepoli,69,563
jean-cyril-robin,70,560
thierry-marie,71,558
alberto-elli,72,557
andrea-tafi,73,554
heinz-imboden,74,554
serhiy-ushakov,75,550
maarten-den-bakker,76,548
johan-capiot,77,544
andrea-peron-1,78,523
asiat-saitov,79,523
aitor-garmendia,80,516
marcel-wust,81,499
hernan-buenahora,82,497
felice-puttini,83,480
gianluca-bortolami,84,474
alvaro-mejia,85,473
jeroen-blijlevens,86,472
tom-steels,87,469
edwig-van-hooydonck,88,468
frederic-moncassin,89,461
orlando-sergio-rodrigues,90,457
lars-michaelsen,91,457
erik-dekker,92,454
fabrizio-bontempi,93,454
michele-coppolillo,94,452
jens-heppner,95,448
giorgio-furlan,96,448
jose-maria-jimenez,97,442
hendrik-redant,98,439
jesus-montoya,99,438
andrea-ferrigato,100,433
laurent-jalabert,1,2672
abraham-olano-manzano,2,2303
tony-rominger,3,2232
richard-virenque,4,2194
alex-zulle,5,2170
michele-bartoli,6,2030
johan-museeuw,7,1920
mauro-gianetti,8,1858
andrea-tafi,9,1794
