model,year,logloss,roc auc score,f1_score,MSE,accuracy,precision,recall,pr auc score
CatBoost Training set,2012,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2012,1.2739876456612595,0.8888392857142857,0.7804878048780488,0.036885245901639344,0.9631147540983607,0.96401704105887,0.9631147540983607,0.7691857600099073
CatBoost Test set,2012,1.9736704747273115,0.8157121879588839,0.631578947368421,0.05714285714285714,0.9428571428571428,0.945904761904762,0.9428571428571428,0.5584962597427514
CatBoost Training set,2013,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,0.9999999999999999
CatBoost Validation set,2013,1.6917180160038359,0.845692608908468,0.6842105263157895,0.04897959183673469,0.9510204081632653,0.9536961451247165,0.9510204081632653,0.7546294901805765
CatBoost Test set,2013,1.3983504515533933,0.886784140969163,0.761904761904762,0.04048582995951417,0.9595141700404858,0.9615785384206437,0.9595141700404858,0.8725919935229243
CatBoost Training set,2014,9.992007221626415e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2014,0.8390115658266601,0.9411894273127752,0.8571428571428572,0.024291497975708502,0.9757085020242915,0.9771087392140025,0.9757085020242915,0.9002071959799696
CatBoost Test set,2014,1.1324287293097384,0.8683035714285714,0.7894736842105262,0.03278688524590164,0.9672131147540983,0.9660283379273659,0.9672131147540983,0.8819052081608219
CatBoost Training set,2015,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2015,1.557095647248356,0.8616071428571429,0.7317073170731706,0.045081967213114756,0.9549180327868853,0.9559971014797156,0.9549180327868853,0.7194166422500989
CatBoost Test set,2015,1.1232284924651894,0.9139380530973452,0.8095238095238095,0.032520325203252036,0.967479674796748,0.9692185355295113,0.967479674796748,0.889772807807912
CatBoost Training set,2016,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2016,0.982826962404577,0.9389380530973451,0.8372093023255814,0.028455284552845527,0.9715447154471545,0.9740864556237685,0.9715447154471545,0.9406637258693014
CatBoost Test set,2016,1.3651911507158832,0.9060953666216824,0.761904761904762,0.039525691699604744,0.9604743083003953,0.9650799106375666,0.9604743083003953,0.7852084695553421
CatBoost Training set,2017,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2017,1.3651943111800342,0.9302744039586146,0.7727272727272727,0.039525691699604744,0.9604743083003953,0.9678552111504056,0.9604743083003953,0.8725456538466818
CatBoost Test set,2017,3.1399317167546594,0.7457207207207208,0.5,0.09090909090909091,0.9090909090909091,0.9173616902974702,0.9090909090909091,0.6250429756765075
CatBoost Training set,2018,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2018,1.4272452939302411,0.9092342342342342,0.7727272727272727,0.04132231404958678,0.9586776859504132,0.9632711603103596,0.9586776859504132,0.861136053589443
CatBoost Test set,2018,0.5804869965423242,0.9227064220183487,0.8947368421052632,0.01680672268907563,0.9831932773109243,0.9828410151939564,0.9831932773109243,0.9794412236585226
CatBoost Training set,2019,0.08442989695962753,0.9975555555555555,0.9975604346861833,0.0024444444444444444,0.9975555555555555,0.9975635165718207,0.9975555555555555,0.9999542526434713
CatBoost Validation set,2019,0.43536272766694234,0.925,0.9189189189189189,0.012605042016806723,0.9873949579831933,0.9875660671508423,0.9873949579831933,0.9757645376066431
CatBoost Test set,2019,1.9607479891297415,0.8784688995215312,0.7111111111111111,0.056768558951965066,0.9432314410480349,0.9506635842109771,0.9432314410480349,0.8657749178264829
CatBoost Training set,2020,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2020,0.9049530898005446,0.8952153110047847,0.8421052631578948,0.026200873362445413,0.9737991266375546,0.97299429026079,0.9737991266375546,0.8855123992440522
CatBoost Test set,2020,2.2723229907805367,0.8444976076555024,0.6511627906976745,0.06578947368421052,0.9342105263157895,0.9428104575163399,0.9342105263157895,0.7956381852428855
CatBoost Training set,2021,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2021,1.5148796558495095,0.8803827751196173,0.7500000000000001,0.043859649122807015,0.956140350877193,0.9584771106510237,0.956140350877193,0.8723700744621883
CatBoost Test set,2021,1.8586247206871314,0.9253694581280788,0.75,0.053811659192825115,0.9461883408071748,0.9586326976461506,0.9461883408071748,0.8722865678496483
CatBoost Training set,2022,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CatBoost Validation set,2022,1.7037351440513866,0.9052955665024631,0.7555555555555556,0.04932735426008968,0.9506726457399103,0.9575078135616253,0.9506726457399103,0.8891114129530275
CatBoost Test set,2022,1.12454061557654,0.958378088077336,0.8372093023255814,0.03255813953488372,0.9674418604651163,0.9731340557652502,0.9674418604651163,0.9724773633623218
