model,year,logloss,roc auc score,f1_score,MSE,accuracy,precision,recall,pr auc score
Logistic Regression Training set,2012,2.5152460112291957,0.9271771771771771,0.9282013323464101,0.07282282282282282,0.9271771771771772,0.9275251300217735,0.9271771771771772,0.9477453015782344
Logistic Regression Validation set,2012,5.237538992344391,0.7808035714285714,0.43076923076923074,0.15163934426229508,0.8483606557377049,0.9158543171229554,0.8483606557377049,0.5632314806279587
Logistic Regression Test set,2012,6.625933366777876,0.6918746940773373,0.2985074626865672,0.19183673469387755,0.8081632653061225,0.9037067888379842,0.8081632653061225,0.31959828789724154
Logistic Regression Training set,2013,5.70479246881172,0.8348314606741573,0.837748344370861,0.1651685393258427,0.8348314606741573,0.8352648797334264,0.8348314606741573,0.8909719394422666
Logistic Regression Validation set,2013,7.18984481155079,0.6830641213901125,0.28169014084507044,0.20816326530612245,0.7918367346938775,0.9017873187010654,0.7918367346938775,0.2407794443456103
Logistic Regression Test set,2013,4.894268664512149,0.9001101321585903,0.5205479452054794,0.1417004048582996,0.8582995951417004,0.9433186567934058,0.8582995951417004,0.3286618355363885
Logistic Regression Training set,2014,4.390849607380005,0.8728737690241719,0.8772687986171133,0.12712623097582812,0.8728737690241719,0.8747962803182822,0.8728737690241719,0.9105646039129351
Logistic Regression Validation set,2014,6.012952910438734,0.8368942731277533,0.44155844155844154,0.17408906882591094,0.8259109311740891,0.9286668087222103,0.8259109311740891,0.38845981746039737
Logistic Regression Test set,2014,7.219324496801902,0.7950892857142857,0.38554216867469876,0.20901639344262296,0.7909836065573771,0.9185618394929146,0.7909836065573771,0.3796555983515848
Logistic Regression Training set,2015,4.420207659848825,0.8720238095238094,0.8767908309455588,0.12797619047619047,0.8720238095238095,0.8742648369274639,0.8720238095238095,0.9037247057807845
Logistic Regression Validation set,2015,6.370000492040613,0.8767857142857143,0.4578313253012048,0.18442622950819673,0.8155737704918032,0.9376810531597236,0.8155737704918032,0.49420494380531477
Logistic Regression Test set,2015,5.616181467078637,0.8431415929203541,0.4594594594594595,0.16260162601626016,0.8373983739837398,0.9299392125865703,0.8373983739837398,0.6123297545330745
Logistic Regression Training set,2016,4.108150604677779,0.8810586734693878,0.8854070660522274,0.11894132653061225,0.8810586734693877,0.8832661815703489,0.8810586734693877,0.9080090284621085
Logistic Regression Validation set,2016,5.194963875312569,0.8269911504424778,0.46376811594202894,0.15040650406504066,0.8495934959349594,0.9265926006406029,0.8495934959349594,0.5769975159239401
Logistic Regression Test set,2016,5.5973067893234205,0.791497975708502,0.40579710144927544,0.16205533596837945,0.8379446640316206,0.9231480363714246,0.8379446640316206,0.4427851832728451
Logistic Regression Training set,2017,4.091194385259854,0.8815496098104794,0.8859672658975046,0.11845039018952062,0.8815496098104794,0.8838539721141628,0.8815496098104794,0.9070843727783214
Logistic Regression Validation set,2017,4.914709633733402,0.8263607737291948,0.4545454545454545,0.1422924901185771,0.857707509881423,0.9309096461140146,0.857707509881423,0.43500052176653503
Logistic Regression Test set,2017,5.423556567434845,0.8234234234234235,0.45714285714285713,0.15702479338842976,0.8429752066115702,0.9246900826446282,0.8429752066115702,0.44318111960662365
Logistic Regression Training set,2018,4.70061233468783,0.863905325443787,0.8686339838172299,0.13609467455621302,0.863905325443787,0.8658012234239642,0.863905325443787,0.9084070682160859
Logistic Regression Validation set,2018,5.566282088064353,0.8211711711711712,0.45070422535211263,0.16115702479338842,0.8388429752066116,0.924071467538164,0.8388429752066116,0.5051391391400535
Logistic Regression Test set,2018,6.095209213806834,0.8355504587155964,0.4473684210526316,0.17647058823529413,0.8235294117647058,0.9263782436051344,0.8235294117647058,0.4165376677294073
Logistic Regression Training set,2019,4.751068807525091,0.8624444444444446,0.8668530866853085,0.13755555555555554,0.8624444444444445,0.8640409031289612,0.8624444444444445,0.9064794867116269
Logistic Regression Validation set,2019,5.950084944931453,0.8378440366972477,0.45333333333333325,0.1722689075630252,0.8277310924369747,0.9269245701261131,0.8277310924369747,0.43325252162993994
Logistic Regression Test set,2019,6.636404131346802,0.759090909090909,0.3888888888888889,0.19213973799126638,0.8078602620087336,0.9052396053358233,0.8078602620087336,0.5456703632701536
Logistic Regression Training set,2020,5.115112108906372,0.851904376012966,0.8559605911330048,0.14809562398703405,0.851904376012966,0.853024184483332,0.851904376012966,0.9090495713071995
Logistic Regression Validation set,2020,7.239718994083891,0.7721291866028708,0.3846153846153847,0.2096069868995633,0.7903930131004366,0.9085646405327177,0.7903930131004366,0.6123059024966657
Logistic Regression Test set,2020,7.422958008947903,0.7392344497607655,0.3466666666666667,0.2149122807017544,0.7850877192982456,0.9040351605758583,0.7850877192982456,0.23705458079822136
Logistic Regression Training set,2021,4.9028462223659774,0.8580500560328725,0.8622189992748369,0.14194994396712737,0.8580500560328727,0.8593660999834036,0.8580500560328727,0.91335524455953
Logistic Regression Validation set,2021,7.574447377335364,0.7368421052631579,0.3421052631578948,0.21929824561403508,0.7807017543859649,0.9035087719298246,0.7807017543859649,0.33438315878630875
Logistic Regression Test set,2021,5.8856389727780805,0.7261083743842365,0.3870967741935483,0.17040358744394618,0.8295964125560538,0.8957036323931747,0.8295964125560538,0.28485406891848136
Logistic Regression Training set,2022,4.793130370179234,0.8612266112266113,0.8652195860676426,0.13877338877338877,0.8612266112266113,0.8624992544960665,0.8612266112266113,0.9118539892547572
Logistic Regression Validation set,2022,7.1247269007544345,0.7064039408866996,0.34285714285714286,0.2062780269058296,0.7937219730941704,0.8897431244977838,0.7937219730941704,0.2922782789854028
Logistic Regression Test set,2022,7.229194984503203,0.7663802363050484,0.3835616438356165,0.20930232558139536,0.7906976744186046,0.9062277646706363,0.7906976744186046,0.2424476570488319
