model,year,logloss,roc auc score,f1_score,MSE,accuracy,precision,recall,pr auc score
Random Forest Training set,2012,9.992007221626413e-16,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Random Forest Validation set,2012,1.8402003717968045,0.8116071428571427,0.6666666666666667,0.05327868852459016,0.9467213114754098,0.9455545968747003,0.9467213114754098,0.6662887329167857
Random Forest Test set,2012,2.1146352812686176,0.7112090063631914,0.5161290322580646,0.061224489795918366,0.9387755102040817,0.9318058788502137,0.9387755102040817,0.47197623996658045
Random Forest Training set,2013,0.11642553705283541,0.9966292134831461,0.9966405375139977,0.0033707865168539327,0.996629213483146,0.9966517857142856,0.996629213483146,1.0
Random Forest Validation set,2013,1.8326958771970636,0.8434899657366617,0.6666666666666666,0.053061224489795916,0.9469387755102041,0.9513301749271136,0.9469387755102041,0.5716869960015689
Random Forest Test set,2013,1.678013419943641,0.8139867841409691,0.6842105263157895,0.048582995951417005,0.951417004048583,0.9494153028972611,0.951417004048583,0.7967537218203677
Random Forest Training set,2014,0.18553039924265566,0.9946284691136974,0.9946571682991986,0.005371530886302597,0.9946284691136974,0.9946855624446413,0.9946284691136974,0.9999814783247187
Random Forest Validation set,2014,1.6780231316533196,0.8823788546255507,0.7272727272727272,0.048582995951417005,0.951417004048583,0.9565246334186622,0.951417004048583,0.8508909803183715
Random Forest Test set,2014,1.9817527340710281,0.7866071428571428,0.631578947368421,0.05737704918032787,0.9426229508196722,0.9401808598094685,0.9426229508196722,0.6686248695446602
Random Forest Training set,2015,0.17989362496010972,0.9947916666666667,0.9948186528497409,0.005208333333333333,0.9947916666666666,0.9948453608247422,0.9947916666666666,0.9999917038909133
Random Forest Validation set,2015,1.6986447324839318,0.8138392857142857,0.6842105263157895,0.04918032786885246,0.9508196721311475,0.9487966858487676,0.9508196721311475,0.6762814526636396
Random Forest Test set,2015,1.9656506744130955,0.8550884955752213,0.6818181818181818,0.056910569105691054,0.943089430894309,0.9488207719915037,0.943089430894309,0.7993312415796054
Random Forest Training set,2016,0.24230569892586176,0.992984693877551,0.9930335655478151,0.00701530612244898,0.9929846938775511,0.9930817610062893,0.9929846938775511,0.9999503896525261
Random Forest Validation set,2016,1.544446084231258,0.9300884955752212,0.7659574468085106,0.044715447154471545,0.9552845528455285,0.9645097820841222,0.9552845528455285,0.6817476883349873
Random Forest Test set,2016,1.7747418589559305,0.8271479982006297,0.6666666666666667,0.05138339920948617,0.9486166007905138,0.9498982171029196,0.9486166007905138,0.633072911397631
Random Forest Training set,2017,0.18290187955810486,0.9947045707915273,0.9947324646520654,0.005295429208472687,0.9947045707915273,0.9947600661886377,0.9947045707915273,0.999865638310223
Random Forest Validation set,2017,2.184305209052582,0.8449167791273055,0.6363636363636364,0.06324110671936758,0.9367588932806324,0.9466736009985439,0.9367588932806324,0.5832119612820788
Random Forest Test set,2017,1.7126897269460322,0.8592342342342343,0.7142857142857143,0.049586776859504134,0.9504132231404959,0.952854996243426,0.9504132231404959,0.6259178104423363
Random Forest Training set,2018,0.22140753841244248,0.9935897435897436,0.9936305732484078,0.00641025641025641,0.9935897435897436,0.9936708860759494,0.9935897435897436,0.9999716982075807
Random Forest Validation set,2018,2.1408662888345553,0.8524774774774775,0.6666666666666665,0.06198347107438017,0.9380165289256198,0.9458049282096203,0.9380165289256198,0.5924471137807591
Random Forest Test set,2018,1.451235969447683,0.9316513761467891,0.7826086956521738,0.04201680672268908,0.957983193277311,0.9655023112292813,0.957983193277311,0.9104661497352726
Random Forest Training set,2019,0.21491291728567757,0.9937777777777778,0.9938162544169611,0.006222222222222222,0.9937777777777778,0.993854258121159,0.9937777777777778,0.9999550793639285
Random Forest Validation set,2019,1.0158598031684696,0.9158256880733945,0.8292682926829269,0.029411764705882353,0.9705882352941176,0.9713304676709393,0.9705882352941176,0.8885161458019026
Random Forest Test set,2019,1.357440109776321,0.910645933014354,0.7906976744186046,0.039301310043668124,0.9606986899563319,0.963925412119056,0.9606986899563319,0.8481315152114117
Random Forest Training set,2020,0.15394462557364344,0.9955429497568882,0.9955627269060106,0.004457050243111832,0.9955429497568882,0.9955823293172692,0.9955429497568882,0.9999682070237277
Random Forest Validation set,2020,1.0557844242536931,0.9154306220095694,0.8292682926829269,0.03056768558951965,0.9694323144104804,0.9702011052993585,0.9694323144104804,0.8749359307073699
Random Forest Test set,2020,2.4238088521617236,0.8181818181818181,0.6190476190476191,0.07017543859649122,0.9298245614035088,0.936938847649346,0.9298245614035088,0.6897697851454458
Random Forest Training set,2021,0.18708399398167552,0.9945834889802017,0.9946126695151403,0.005416511019798282,0.9945834889802018,0.9946415373244641,0.9945834889802018,0.9999649499538174
Random Forest Validation set,2021,3.332745062486484,0.8038277511961722,0.5416666666666666,0.09649122807017543,0.9035087719298246,0.9263847975509732,0.9035087719298246,0.7393825135639647
Random Forest Test set,2021,3.4074667024640726,0.7880541871921182,0.5416666666666667,0.09865470852017937,0.9013452914798207,0.9192759408006045,0.9013452914798207,0.6693034183040454
Random Forest Training set,2022,0.21542355088778192,0.9937629937629937,0.993801652892562,0.006237006237006237,0.9937629937629938,0.9938398357289527,0.9937629937629938,0.99994536504041
Random Forest Validation set,2022,3.562356279099817,0.808128078817734,0.5490196078431372,0.1031390134529148,0.8968609865470852,0.9223699913207001,0.8968609865470852,0.6455638017063204
Random Forest Test set,2022,2.2490737930374496,0.8692266380236305,0.6818181818181819,0.06511627906976744,0.9348837209302325,0.9454589963280295,0.9348837209302325,0.7513370002529972
