model,year,logloss,roc auc score,f1_score,MSE,accuracy,precision,recall,pr auc score
XGBoost Training set,2012,1.1409409517182414,0.966966966966967,0.967551622418879,0.03303303303303303,0.9669669669669669,0.9675741568468103,0.9669669669669669,0.9879822152507398
XGBoost Validation set,2012,3.3973189583156973,0.8325892857142857,0.5555555555555556,0.09836065573770492,0.9016393442622951,0.932336869173899,0.9016393442622951,0.43741490034639247
XGBoost Test set,2012,4.229309726492999,0.7293196279980422,0.39999999999999997,0.12244897959183673,0.8775510204081632,0.9146905240969627,0.8775510204081632,0.42738201558719596
XGBoost Training set,2013,1.2030580431227773,0.9651685393258428,0.9658590308370044,0.0348314606741573,0.9651685393258427,0.9659308754128709,0.9651685393258427,0.989268011312703
XGBoost Validation set,2013,3.3834523503225724,0.819260890846794,0.52,0.09795918367346938,0.9020408163265307,0.9346280061320303,0.9020408163265307,0.47128466882574793
XGBoost Test set,2013,2.7967106148164644,0.8419603524229076,0.6,0.08097165991902834,0.9190283400809717,0.9383384018358552,0.9190283400809717,0.6729821047161524
XGBoost Training set,2014,1.1904763487398273,0.9655326768128917,0.9658233466489126,0.03446732318710832,0.9655326768128917,0.9656674106570203,0.9655326768128917,0.9906083566489016
XGBoost Validation set,2014,2.6568775120030605,0.8669603524229075,0.6274509803921569,0.07692307692307693,0.9230769230769231,0.9438011212204761,0.9230769230769231,0.7542136392980914
XGBoost Test set,2014,3.1141978485740074,0.76875,0.5217391304347826,0.09016393442622951,0.9098360655737705,0.9221745317398798,0.9098360655737705,0.5068174545544294
XGBoost Training set,2015,0.8352129648684542,0.9758184523809524,0.975952645209027,0.02418154761904762,0.9758184523809523,0.9758777284452617,0.9758184523809523,0.9948876996138765
XGBoost Validation set,2015,2.6895407617513354,0.84375,0.6122448979591838,0.0778688524590164,0.9221311475409836,0.9390800215599405,0.9221311475409836,0.6208287322504631
XGBoost Test set,2015,2.667671326300389,0.8212389380530973,0.5957446808510639,0.07723577235772358,0.9227642276422764,0.9356853233676934,0.9227642276422764,0.6558538139453259
XGBoost Training set,2016,0.8480633169250846,0.9754464285714285,0.975640620056944,0.024553571428571428,0.9754464285714286,0.975567321223483,0.9754464285714286,0.9971861289814719
XGBoost Validation set,2016,2.667677827092504,0.8668141592920354,0.6274509803921569,0.07723577235772358,0.9227642276422764,0.9435688190340268,0.9227642276422764,0.6865603298281526
XGBoost Test set,2016,2.184305209052582,0.8449167791273055,0.6363636363636364,0.06324110671936758,0.9367588932806324,0.9466736009985439,0.9367588932806324,0.6531170372592372
XGBoost Training set,2017,0.6930967337535263,0.979933110367893,0.9800774764803541,0.020066889632107024,0.979933110367893,0.9800339366515838,0.979933110367893,0.99754474360714
XGBoost Validation set,2017,3.27646571473925,0.8278227620332883,0.5384615384615385,0.09486166007905138,0.9051383399209486,0.9357408072823092,0.9051383399209486,0.6091225532338007
XGBoost Test set,2017,2.8544806754956444,0.7502252252252252,0.5238095238095238,0.08264462809917356,0.9173553719008265,0.9211495116453794,0.9173553719008265,0.6433663963861125
XGBoost Training set,2018,0.8600760329681818,0.9750986193293886,0.9752753977968176,0.02490138067061144,0.9750986193293886,0.9751957894357971,0.9750986193293886,0.99614371056662
XGBoost Validation set,2018,2.711768371352586,0.8434684684684685,0.6122448979591838,0.07851239669421488,0.9214876033057852,0.9385684296717897,0.9214876033057852,0.6936995953599476
XGBoost Test set,2018,2.0317196063369383,0.831651376146789,0.6666666666666666,0.058823529411764705,0.9411764705882353,0.9439988116458704,0.9411764705882353,0.7501187640092177
XGBoost Training set,2019,0.7368377133688468,0.9786666666666666,0.9787704555506412,0.021333333333333333,0.9786666666666667,0.9787124339393634,0.9786666666666667,0.9980178285370918
XGBoost Validation set,2019,1.596353519016929,0.8839449541284403,0.7441860465116279,0.046218487394957986,0.9537815126050421,0.9573833173309768,0.9537815126050421,0.8173253058391503
XGBoost Test set,2019,3.016539396767104,0.8391148325358851,0.6,0.08733624454148471,0.9126637554585153,0.9334006275921091,0.9126637554585153,0.7199183072678177
XGBoost Training set,2020,0.7277311022926515,0.9789303079416531,0.9789983844911148,0.02106969205834684,0.9789303079416531,0.9789504377773048,0.9789303079416531,0.997670923493837
XGBoost Validation set,2020,2.11157932358289,0.8986842105263159,0.7083333333333333,0.0611353711790393,0.9388646288209607,0.9520674854051638,0.9388646288209607,0.8432793639938871
XGBoost Test set,2020,3.181248680086478,0.7583732057416268,0.5116279069767442,0.09210526315789473,0.9078947368421053,0.9189133986928105,0.9078947368421053,0.6331371850775985
XGBoost Training set,2021,0.7031714979591133,0.979641389615241,0.979736010410857,0.020358610384759057,0.9796413896152409,0.979683224425681,0.9796413896152409,0.9972656231941062
XGBoost Validation set,2021,2.272326497786809,0.868421052631579,0.6666666666666666,0.06578947368421052,0.9342105263157895,0.9465917745620716,0.9342105263157895,0.6999117601382603
XGBoost Test set,2021,3.407466702464072,0.7880541871921182,0.5416666666666667,0.09865470852017937,0.9013452914798207,0.9192759408006045,0.9013452914798207,0.6345975559956298
XGBoost Training set,2022,0.6761857417228808,0.9804227304227304,0.9805674978503869,0.019577269577269577,0.9804227304227304,0.9805294058096968,0.9804227304227304,0.9982465367533191
XGBoost Validation set,2022,3.0977054773860853,0.8605911330049261,0.6153846153846154,0.08968609865470852,0.9103139013452914,0.9360927851994459,0.9103139013452914,0.6522121287506468
XGBoost Test set,2022,1.9277865688867932,0.9456229860365198,0.75,0.05581395348837209,0.9441860465116279,0.9615783256158867,0.9441860465116279,0.7848577490533086
