rider_name,year,pcs_points
claudio chiappucci,1991,2734.0
gianni bugno,1991,2587.0
miguel indurain,1991,2291.0
tony rominger,1991,1789.0
laurent jalabert,1991,1781.0
johan museeuw,1991,1780.0
olaf ludwig,1991,1663.0
maurizio fondriest,1991,1576.0
djamolidine abduzhaparov,1991,1350.0
frans maassen,1991,1340.0
franco chioccioli,1991,1316.0
charly mottet,1991,1301.0
phil anderson,1991,1251.0
edwig van hooydonck,1991,1150.0
pedro delgado,1991,1134.0
melchor mauri,1991,1131.0
steven rooks,1991,1125.0
luc leblanc,1991,1119.0
adrie van der poel,1991,1064.0
erik breukink,1991,1027.0
mario cipollini,1991,1017.0
federico echave,1991,1013.0
piotr ugrumov,1991,1012.0
davide cassani,1991,1002.0
jean francois bernard,1991,985.0
rolf sorensen,1991,980.0
stephen hodge,1991,975.0
johan bruyneel,1991,969.0
uwe raab,1991,957.0
andreas kappes,1991,955.0
eric vanderaerden,1991,947.0
gerard rue,1991,910.0
andrew hampsten,1991,897.0
pascal richard,1991,877.0
sean kelly,1991,868.0
thierry marie,1991,865.0
robert millar,1991,861.0
eduardo chozas,1991,857.0
franco ballerini,1991,855.0
massimiliano lelli,1991,850.0
oliverio rincon quintana,1991,838.0
jean paul van poppel,1991,827.0
marc madiot,1991,811.0
jesper skibby,1991,791.0
stephen roche,1991,763.0
moreno argentin,1991,761.0
eric van lancker,1991,752.0
jean claude colotti,1991,735.0
viatcheslav ekimov,1991,734.0
laurent dufaux,1991,733.0
raul alcala,1991,720.0
maximilian sciandri,1991,715.0
alvaro mejia,1991,700.0
greg lemond,1991,690.0
jelle nijdam,1991,690.0
johan capiot,1991,689.0
laudelino cubino,1991,683.0
inaki gaston,1991,679.0
dirk de wolf,1991,674.0
marco giovannetti,1991,617.0
eric caritoux,1991,580.0
guido bontempi,1991,577.0
laurent fignon,1991,569.0
hendrik redant,1991,568.0
jerome simon,1991,568.0
thomas wegmuller,1991,567.0
dmitri konychev,1991,563.0
luc roosen,1991,547.0
sammie moreels,1991,545.0
bruno cornillet,1991,543.0
wiebren veenstra,1991,534.0
carlo bomans,1991,532.0
gert jan theunisse,1991,526.0
brian holm sorensen,1991,519.0
leonardo sierra,1991,516.0
etienne de wilde,1991,487.0
marc sergeant,1991,485.0
eric boyer,1991,481.0
atle kvalsvoll,1991,476.0
malcolm elliott,1991,473.0
eddy bouwmans,1991,467.0
herminio diaz zabala,1991,458.0
john talen,1991,458.0
zenon jaskula,1991,451.0
vladimir pulnikov,1991,450.0
rudy verdonck,1991,431.0
giorgio furlan,1991,427.0
silvio martinello,1991,427.0
uwe ampler,1991,415.0
