rider_name,year,pcs_points
tadej pogacar,2021,2814.0
wout van aert,2021,2730.0
primoz roglic,2021,2179.0
julian alaphilippe,2021,1506.0
joao almeida,2021,1499.0
jasper philipsen,2021,1492.0
sonny colbrelli,2021,1364.0
matej mohoric,2021,1322.0
mathieu van der poel,2021,1296.0
kasper asgreen,2021,1146.0
tim merlier,2021,1144.0
bauke mollema,2021,1094.0
jasper stuyven,2021,1013.0
mark cavendish,2021,996.0
stefan kung,2021,996.0
ethan hayter,2021,971.0
giacomo nizzolo,2021,966.0
remco evenepoel,2021,965.0
michael matthews,2021,895.0
peter sagan,2021,876.0
christophe laporte,2021,874.0
mikkel honore,2021,862.0
maximilian schachmann,2021,841.0
dylan van baarle,2021,820.0
alejandro valverde,2021,787.0
florian senechal,2021,784.0
matteo trentin,2021,748.0
pascal ackermann,2021,722.0
aleksey lutsenko,2021,717.0
adam yates,2021,713.0
arnaud demare,2021,713.0
danny van poppel,2021,697.0
rigoberto uran,2021,693.0
johan esteban chaves,2021,686.0
mads pedersen,2021,643.0
magnus cort nielsen,2021,625.0
miguel angel lopez,2021,609.0
benoit cosnefroy,2021,608.0
nils politt,2021,597.0
dylan teuns,2021,587.0
alex aranburu,2021,586.0
caleb ewan,2021,573.0
david gaudu,2021,571.0
thomas pidcock,2021,571.0
sam bennett,2021,563.0
alexander kristoff,2021,557.0
michal kwiatkowski,2021,557.0
greg van avermaet,2021,552.0
yves lampaert,2021,545.0
michael valgren andersen,2021,544.0
tiesj benoot,2021,524.0
connor swift,2021,506.0
tosh van der sande,2021,492.0
marc hirschi,2021,491.0
ide schelling,2021,486.0
davide ballerini,2021,482.0
anthony turgis,2021,476.0
egan bernal,2021,463.0
mike teunissen,2021,462.0
gianni vermeersch,2021,460.0
neilson powless,2021,454.0
jonas vingegaard rasmussen,2021,443.0
jordi meeus,2021,442.0
filippo ganna,2021,439.0
stefan bissegger,2021,435.0
odd christian eiking,2021,425.0
rasmus tiller,2021,422.0
fernando gaviria,2021,416.0
geoffrey bouchard,2021,414.0
michael woods,2021,400.0
gianni moscon,2021,399.0
brandon mcnulty,2021,393.0
gonzalo serrano,2021,391.0
max walscheid,2021,385.0
sergio higuita,2021,382.0
john degenkolb,2021,376.0
tom dumoulin,2021,373.0
victor campenaerts,2021,370.0
jon aberasturi,2021,361.0
piet allegaert,2021,360.0
ryan gibbons,2021,359.0
remi cavagna,2021,354.0
mauri vansevenant,2021,350.0
valentin madouas,2021,348.0
sep vanmarcke,2021,346.0
nikias arndt,2021,344.0
lorenzo fortunato,2021,338.0
tim wellens,2021,338.0
timothy dupont,2021,335.0
jonathan lastra,2021,333.0
taco van der hoorn,2021,332.0
luca mozzato,2021,331.0
toms skujins,2021,317.0
nelson oliveira,2021,312.0
rui costa,2021,309.0
cees bol,2021,298.0
ruben guerreiro,2021,298.0
aurelien paret peintre,2021,297.0
ion izagirre,2021,297.0
edoardo affini,2021,289.0
quinn simmons,2021,289.0
bram welten,2021,285.0
ivan garcia cortina,2021,282.0
martin laas,2021,282.0
pascal eenkhoorn,2021,282.0
mark padun,2021,279.0
luis leon sanchez,2021,276.0
stanislaw aniolkowski,2021,273.0
tom van asbroeck,2021,273.0
philippe gilbert,2021,270.0
markus hoelgaard,2021,269.0
oliver naesen,2021,267.0
jose manuel diaz gallego,2021,266.0
zdenek stybar,2021,261.0
jake stewart,2021,260.0
nick schultz,2021,260.0
