rider_name,year,uci_points
primoz roglic,2019,4209.3
jakob fuglsang,2019,3457.5
alejandro valverde,2019,3288.0
julian alaphilippe,2019,3263.9
egan bernal,2019,3206.7
greg van avermaet,2019,2947.3
alexander kristoff,2019,2461.5
pascal ackermann,2019,2376.0
elia viviani,2019,2357.1
bauke mollema,2019,2220.0
mathieu van der poel,2019,2176.0
peter sagan,2019,2076.0
diego ulissi,2019,2074.0
oliver naesen,2019,2072.0
emanuel buchmann,2019,2035.0
tadej pogacar,2019,2004.3
matteo trentin,2019,1905.0
tim wellens,2019,1887.2
adam yates,2019,1844.6
nairo quintana,2019,1825.0
caleb ewan,2019,1795.0
michael woods,2019,1678.0
aleksey lutsenko,2019,1673.0
maximilian schachmann,2019,1496.0
mike teunissen,2019,1468.6
richard carapaz,2019,1464.0
tiesj benoot,2019,1439.0
sam bennett,2019,1412.9
dylan groenewegen,2019,1402.8
vincenzo nibali,2019,1393.9
daryl impey,2019,1393.0
miguel angel lopez,2019,1366.5
michael matthews,2019,1330.9
mikel landa,2019,1326.0
yves lampaert,2019,1325.3
sergio higuita,2019,1307.5
wout van aert,2019,1283.0
zdenek stybar,2019,1275.0
remco evenepoel,2019,1257.2
geraint thomas,2019,1254.25
nils politt,2019,1253.9
steven kruijswijk,2019,1230.0
jasper stuyven,2019,1225.0
philippe gilbert,2019,1212.0
guillaume martin,2019,1204.0
jack haig,2019,1177.0
david gaudu,2019,1157.0
wout poels,2019,1152.2
stefan kung,2019,1150.0
rohan dennis,2019,1140.8600000143051
timothy dupont,2019,1116.0
alberto bettiol,2019,1105.0
rafal majka,2019,1101.5
rui costa,2019,1097.0
thibaut pinot,2019,1092.0
jesus herrada lopez,2019,1067.0
felix grossschartner,2019,1040.9300000071526
kasper asgreen,2019,1019.1
patrick konrad,2019,1018.0
pavel sivakov,2019,1013.0
baptiste planckaert,2019,1009.0
ion izagirre,2019,1002.5
anthony turgis,2019,996.0
sonny colbrelli,2019,993.0
luis leon sanchez,2019,984.5
enric mas,2019,981.1
bob jungels,2019,969.8
simon clarke,2019,968.0
bryan coquard,2019,961.0
giovanni visconti,2019,946.0
sep vanmarcke,2019,942.8
benoit cosnefroy,2019,936.0
marc sarreau,2019,933.0
davide formolo,2019,928.5
dylan teuns,2019,925.0
michal kwiatkowski,2019,921.2
jasper philipsen,2019,916.0
youcef reguigui,2019,912.0
michael valgren andersen,2019,905.0
andrea vendrame,2019,904.0
john degenkolb,2019,901.0
amund grondahl jansen,2019,895.6
richie porte,2019,885.0
romain bardet,2019,878.0
arnaud demare,2019,864.0
dan martin,2019,840.0
fernando gaviria,2019,822.0
tom van asbroeck,2019,821.7
ryan gibbons,2019,812.0
mads pedersen,2019,808.0
fabio jakobsen,2019,807.4299998283386
niki terpstra,2019,801.0
