rider_name,year,uci_points
abelardo rondon,1991,0.0
acacio da silva,1991,0.0
adriano baffi,1991,0.0
adrie van der poel,1991,0.0
aitor garmendia,1991,0.0
alain van den bossche,1991,0.0
alberto camargo,1991,0.0
alberto elli,1991,0.0
alberto leanizbarrutia abaunza,1991,0.0
alberto volpi,1991,0.0
alessandro baronti,1991,0.0
alex zulle,1991,0.0
alex zulle2,1991,0.0
alfonso gutierrez,1991,0.0
alfredo irusta,1991,0.0
alvaro mejia,1991,0.0
alvaro sierra 1,1991,0.0
americo jose neves da silva,1991,0.0
andrea chiurato,1991,0.0
andrea ferrigato,1991,0.0
andrea tafi,1991,0.0
andreas kappes,1991,0.0
andrei tchmil,1991,0.0
andrei teteriouk,1991,0.0
andrej gimpelj,1991,0.0
andrew hampsten,1991,0.0
andrey mizurov,1991,0.0
andrus aug,1991,0.0
andrzej dulas,1991,0.0
andy bishop,1991,0.0
andy de smet,1991,0.0
angel edo,1991,0.0
angel yesid camargo,1991,0.0
angelo canzonieri,1991,0.0
anthony theus,1991,0.0
antonio miguel,1991,0.0
antonio sanchez garcia,1991,0.0
armand de las cuevas,1991,0.0
arsenio gonzalez,1991,0.0
arturas kasputis,1991,0.0
arunas cepele,1991,0.0
arvis piziks,1991,0.0
asiat saitov,1991,0.0
atle kvalsvoll,1991,0.0
augusto triana,1991,0.0
bart bowen,1991,0.0
bart leysen,1991,0.0
bart voskamp,1991,0.0
beat zberg,1991,0.0
benjamin van itterbeeck,1991,0.0
bert dietz,1991,0.0
biagio conte,1991,0.0
bjarne riis,1991,0.0
bjorn stenersen,1991,0.0
bo andre namtvedt,1991,0.0
bo hamburger,1991,0.0
bobby julich,1991,0.0
brian holm sorensen,1991,0.0
brian smith,1991,0.0
brian walton,1991,0.0
bruno cenghialta,1991,0.0
bruno cornillet,1991,0.0
bruno leali,1991,0.0
bruno risi,1991,0.0
bruno thibout,1991,0.0
carl roes,1991,0.0
carlo bomans,1991,0.0
carlos galarreta,1991,0.0
carlos mario jaramillo,1991,0.0
carmelo miranda,1991,0.0
cassio freitas,1991,0.0
cedric vasseur,1991,0.0
charly mottet,1991,0.0
chris peers,1991,0.0
christian chaubet,1991,0.0
christian henn,1991,0.0
christophe capelle,1991,0.0
christophe faudot,1991,0.0
christophe manin,1991,0.0
christopher boardman,1991,0.0
claudio camin,1991,0.0
claudio chiappucci,1991,0.0
claus michael moller,1991,0.0
dag otto lauritzen,1991,0.0
daniel verelst,1991,0.0
daniele sgnaolin,1991,0.0
danny daelman,1991,0.0
danny in t ven,1991,0.0
danny nelissen,1991,0.0
dante rezze,1991,0.0
dario bottaro,1991,0.0
dario frigo,1991,0.0
dario nicoletti,1991,0.0
dariusz baranowski,1991,0.0
davide bramati,1991,0.0
davide cassani,1991,0.0
davide perona,1991,0.0
davide rebellin,1991,0.0
davy delme,1991,0.0
davy dubbeldam,1991,0.0
delmino pereira,1991,0.0
diego trepin,1991,0.0
dimitri zhdanov,1991,0.0
dirk de wolf,1991,0.0
dirk demol,1991,0.0
djamolidine abduzhaparov,1991,0.0
dmitri konychev,1991,0.0
dominik krieger,1991,0.0
dominique arnould,1991,0.0
duban alberto ramirez,1991,0.0
eddy bouwmans,1991,0.0
eddy mazzoleni,1991,0.0
eddy schurer,1991,0.0
eddy seigneur,1991,0.0
eduardo chozas,1991,0.0
edwig van hooydonck,1991,0.0
eleuterio anguita,1991,0.0
endrio leoni,1991,0.0
enrico zaina,1991,0.0
eric boyer,1991,0.0
eric caritoux,1991,0.0
eric de clercq,1991,0.0
eric van lancker,1991,0.0
eric vanderaerden,1991,0.0
erich machler,1991,0.0
erik breukink,1991,0.0
erik dekker,1991,0.0
eros poli,1991,0.0
erwin nijboer,1991,0.0
etienne de wilde,1991,0.0
fabian jeker,1991,0.0
fabiano fontanelli,1991,0.0
fabio baldato,1991,0.0
fabio bordonali,1991,0.0
fabio casartelli,1991,0.0
fabio rodriguez,1991,0.0
fabio roscioli,1991,0.0
fabrizio bontempi,1991,0.0
fabrizio settembrini,1991,0.0
falk boden,1991,0.0
federico echave,1991,0.0
federico garcia melia,1991,0.0
federico munoz,1991,0.0
felice puttini,1991,0.0
fernando carvalho,1991,0.0
fernando escartin,1991,0.0
fernando quevedo,1991,0.0
flavio giupponi,1991,0.0
flavio vanzella,1991,0.0
francesco casagrande,1991,0.0
francis moreau,1991,0.0
francisco cabello,1991,0.0
francisco javier mauleon,1991,0.0
franck boucanville,1991,0.0
franco ballerini,1991,0.0
franco chioccioli,1991,0.0
franco vona,1991,0.0
francois lemarchand,1991,0.0
francois simon,1991,0.0
frank pineau,1991,0.0
frank van den abeele,1991,0.0
frank van veenendaal,1991,0.0
frankie andreu,1991,0.0
frans maassen,1991,0.0
frantisek trkal,1991,0.0
fred rodriguez,1991,0.0
frederic moncassin,1991,0.0
geert verheyen,1991,0.0
george hincapie,1991,0.0
gerard guazzini,1991,0.0
gerard rue,1991,0.0
gerd audehem,1991,0.0
germano pierdomenico,1991,0.0
gerrit de vries,1991,0.0
gert jakobs,1991,0.0
